prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.8409314688765267,2.4417057037353516,17,no,80,18,4.87890625,0.053436279296875,0.211181640625
prompt1,0.6656945801982782,1.0900492668151855,8,yes,3,3,2.681640625,0.046966552734375,0.379150390625
prompt2,0.42436297727244054,1.5657942295074463,8,no,47000,70000,3.1015625,0.048828125,0.5726318359375
prompt3,0.6717959187268692,1.3634114265441895,7,no,378,540,4.24609375,0.053741455078125,0.16064453125
prompt4,,0.15039587020874023,1,buggy,None,20,,,
prompt5,0.34222860930130206,58.46403884887695,264,no,32,64,0.5400390625,0.0396270751953125,0.6492919921875
prompt6,0.0,15.38360333442688,77,yes,260,260,0.0,0.035786946614583336,1.0
prompt7,0.23190079927724563,51.19985103607178,232,no,26520,160,1.359375,0.04239501953125,0.5388916015625
prompt8,,38.047667503356934,222,buggy,None,45,,,
prompt9,0.7038201884197582,1.3595073223114014,7,no,450,460,5.24609375,0.05908203125,0.1534423828125
prompt10,0.21277689256952334,10.132468700408936,51,yes,366,366,1.4856770833333333,0.040364583333333336,0.7200113932291666
prompt11,0.29283873407598165,5.840940952301025,30,no,1450,694,2.13671875,0.045928955078125,0.7133382161458334
prompt12,0.5845648155754043,11.756659507751465,58,no,61800180,13,4.24951171875,0.04593658447265625,0.22283935546875
prompt13,0.4244256639390218,68.97474575042725,304,no,6,18,0.681640625,0.039215087890625,0.4619140625
prompt14,0.3897662399999368,5.67843222618103,31,no,22.5,60,1.88828125,0.046697998046875,0.419384765625
prompt15,,112.4788544178009,547,buggy,None,125,,,
prompt16,0.0,7.176180362701416,37,yes,230,230,0.0,0.036651611328125,1.0
prompt17,0.15845850487219287,22.16408944129944,108,no,50000,57500,0.5990234375,0.041375732421875,0.6853515625
prompt18,,27.111145734786987,169,buggy,None,7,,,
prompt19,0.7617290768084751,1.7551350593566895,9,no,5.5,6,2.8675130208333335,0.048075358072916664,0.28662109375
