,buggy_prompt_ids
0,9
1,18
2,30
3,31
4,33
5,36
6,37
7,40
8,41
9,42
10,44
11,45
12,46
13,49
14,52
15,59
16,60
17,63
18,64
19,65
20,69
21,70
22,79
23,98
24,102
25,104
26,111
27,112
28,113
29,115
30,118
31,132
32,138
33,139
34,141
35,145
36,151
37,152
38,164
39,168
40,175
41,176
42,181
43,182
44,187
45,189
46,192
47,194
48,199
49,201
50,203
51,204
52,205
53,206
54,210
55,212
56,214
57,226
58,227
59,230
60,242
61,245
62,250
63,254
64,260
65,261
66,262
67,264
68,267
69,269
70,270
71,271
72,272
73,280
74,281
75,283
76,286
77,293
78,299
79,309
80,310
81,311
82,312
83,316
84,319
85,322
86,327
87,331
88,336
89,340
90,341
91,342
92,343
93,345
94,346
95,352
96,360
97,361
98,362
99,364
100,365
101,366
102,369
103,371
104,373
105,374
106,379
107,380
108,383
109,388
110,389
111,390
112,391
113,392
114,401
115,404
116,406
117,407
118,411
119,413
120,415
121,428
122,430
123,433
124,436
125,438
126,440
127,443
128,445
129,451
130,455
131,458
132,459
133,468
134,472
135,476
136,480
137,481
138,482
139,484
140,486
141,487
142,489
143,490
144,492
145,493
146,497
147,498
148,501
149,502
150,503
151,506
152,508
153,509
154,511
155,513
156,514
157,516
158,518
159,519
160,529
161,533
162,536
163,542
164,543
165,559
166,560
167,561
168,562
169,573
170,577
171,579
172,583
173,585
174,587
175,588
176,591
177,596
178,598
179,601
180,603
181,604
182,606
183,607
184,609
185,610
186,614
187,615
188,617
189,621
190,625
191,634
192,636
193,640
194,644
195,645
196,646
197,647
198,650
199,659
200,661
201,662
202,663
203,664
204,667
205,669
206,670
207,676
208,682
209,688
210,689
211,690
212,696
213,701
214,703
215,707
216,712
217,715
218,717
219,718
220,719
221,720
222,722
223,724
224,726
225,729
226,732
227,733
228,737
229,744
230,747
231,750
232,751
233,753
234,757
235,759
236,763
237,764
238,774
239,777
240,778
241,780
242,784
243,790
244,792
245,795
246,798
247,799
248,801
249,806
250,809
251,813
252,817
253,820
254,821
255,824
256,827
257,828
258,829
259,832
260,835
261,840
262,841
263,846
264,847
265,849
266,850
267,852
268,854
269,855
270,857
271,859
272,860
273,862
274,866
275,868
276,869
277,870
278,872
279,874
280,875
281,882
282,883
283,884
284,887
285,889
286,890
287,895
288,898
289,900
290,902
291,909
292,910
293,912
294,913
295,916
296,918
297,920
298,922
299,923
300,924
301,930
302,939
303,941
304,944
305,948
306,954
307,956
308,959
309,961
310,964
311,965
312,967
313,977
314,981
315,983
316,984
317,986
318,988
319,994
320,997
321,999
322,1001
323,1003
324,1004
325,1005
326,1007
327,1010
328,1012
329,1014
330,1017
331,1019
332,1020
333,1024
334,1026
335,1028
336,1031
337,1032
338,1033
339,1038
340,1045
341,1046
342,1053
343,1060
344,1063
345,1068
346,1071
347,1073
348,1074
349,1076
350,1081
351,1082
352,1083
353,1085
354,1090
355,1092
356,1094
357,1095
358,1099
359,1100
360,1105
361,1108
362,1109
363,1113
364,1115
365,1116
366,1117
367,1118
368,1119
369,1122
370,1125
371,1131
372,1132
373,1133
374,1135
375,1136
376,1138
377,1139
378,1141
379,1143
380,1145
381,1146
382,1147
383,1148
384,1152
385,1153
386,1157
387,1167
388,1168
389,1170
390,1172
391,1175
392,1179
393,1184
394,1193
395,1198
396,1203
397,1205
398,1206
399,1207
400,1208
401,1210
402,1214
403,1215
404,1221
405,1227
406,1228
407,1229
408,1231
409,1234
410,1235
411,1236
412,1237
413,1241
414,1242
415,1245
416,1248
417,1252
418,1254
419,1256
420,1257
421,1263
422,1266
423,1270
424,1272
425,1273
426,1275
427,1276
428,1280
429,1281
430,1282
431,1283
432,1285
433,1289
434,1294
435,1295
436,1296
437,1298
438,1304
439,1305
440,1306
441,1307
442,1311
443,1316
