prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt1,0.6780866312201408,0.4662601947784424,6,no,5,3,2.54296875,0.041595458984375,0.388916015625
prompt6,0.8139437443847432,0.5691061019897461,6,no,75,260,4.953125,0.047821044921875,0.1956787109375
prompt7,0.7993309071721527,0.5826778411865234,6,no,38,160,5.40234375,0.049285888671875,0.1778564453125
prompt9,0.7281073056508616,0.579498291015625,6,no,487,460,5.23046875,0.04559326171875,0.161865234375
prompt11,0.9174196481252562,0.581031084060669,6,no,256,694,6.4453125,0.035552978515625,0.146728515625
prompt13,0.4916956567803818,0.6782588958740234,7,no,10,18,3.40625,0.05450439453125,0.2998046875
prompt14,0.5439027076090678,2.6061654090881348,27,no,35.0,60,2.1005859375,0.041046142578125,0.3263753255208333
prompt15,0.612339054422959,1.1876976490020752,12,no,157.5,125,4.334635416666667,0.050038655598958336,0.1998291015625
prompt16,0.5573725876297737,0.57598876953125,6,yes,230,230,4.9765625,0.0478515625,0.1649169921875
prompt17,0.6116499422321349,1.3530254364013672,14,no,12400,57500,4.224609375,0.041168212890625,0.20538330078125
prompt21,0.85620121500196,0.5634377002716064,6,no,6,14,3.380859375,0.0421142578125,0.329833984375
prompt22,0.6098884604821385,0.574761152267456,6,no,5,7,1.771484375,0.0408935546875,0.51806640625
prompt26,0.7704874166798336,0.7727241516113281,8,no,241.5,243,2.2923177083333335,0.041605631510416664,0.2431640625
prompt28,0.7942370452226322,0.5705814361572266,6,no,20,25,2.177734375,0.039215087890625,0.361083984375
prompt31,0.8627164992071844,0.5798454284667969,6,no,45,80,4.1015625,0.04296875,0.282470703125
prompt33,0.5629021039240494,1.1285192966461182,13,no,80,70,3.734375,0.046844482421875,0.281005859375
prompt35,0.8856910325523546,0.569939136505127,6,no,14,9,3.88671875,0.0452880859375,0.304443359375
prompt36,0.5872702195975591,0.7565858364105225,8,no,60,75,3.26953125,0.04705810546875,0.2432861328125
prompt37,0.3715624900985565,0.5803179740905762,6,no,5,2,2.177734375,0.040985107421875,0.464599609375
prompt38,0.7822112153325973,2.0971317291259766,22,no,4,10,3.443359375,0.045654296875,0.287353515625
prompt39,0.7856289685748526,0.7807278633117676,8,no,5.2,18,3.1539713541666665,0.045949300130208336,0.2661539713541667
prompt41,0.2637205441598209,0.5967190265655518,6,no,1000,200,3.0615234375,0.0565185546875,0.15338134765625
prompt48,0.8133355536803187,0.5634255409240723,6,no,38,8,4.0546875,0.043853759765625,0.278076171875
prompt49,0.8666617688114374,0.5675981044769287,6,no,21,30,4.5234375,0.04046630859375,0.250244140625
prompt51,0.5813034449792521,0.5698914527893066,6,no,7,5,4.69921875,0.049072265625,0.1904296875
prompt54,0.8381522392584208,2.744809150695801,28,no,8,40,3.806640625,0.043487548828125,0.30908203125
prompt55,0.7152423636836849,0.5696144104003906,6,no,10,14,2.0625,0.038360595703125,0.427734375
prompt57,0.7765890286303624,0.5873515605926514,6,no,327,83,5.80859375,0.039459228515625,0.1602783203125
prompt60,0.9140642105440445,0.6600508689880371,7,no,19,17,2.923828125,0.042755126953125,0.38232421875
prompt61,0.744629886875505,0.679335355758667,7,no,515,1430,6.08203125,0.051605224609375,0.1455078125
prompt62,0.3919027850918066,1.1267731189727783,7,no,75000,25000,2.861328125,0.0391693115234375,0.57452392578125
prompt64,0.6689542404825145,0.6920778751373291,7,no,180,300,5.1328125,0.04644775390625,0.1602783203125
prompt66,0.6914304503956668,0.5738940238952637,6,no,40,48,3.830078125,0.0404052734375,0.269775390625
prompt70,0.7677980962781883,1.8291480541229248,19,no,6375,7425,3.0791015625,0.046783447265625,0.14404296875
prompt74,0.6102814480613478,1.4012603759765625,14,no,40.84,88,3.1106770833333335,0.043324788411458336,0.498779296875
prompt75,0.5368347991749352,2.0498480796813965,21,no,7,60,2.4609375,0.048797607421875,0.34716796875
prompt76,0.7334746072118493,2.9527347087860107,30,no,2,5,6.203125,0.05340576171875,0.14697265625
prompt78,0.4285645100776628,2.2985870838165283,24,no,0.5,6,2.6608072916666665,0.044179280598958336,0.5055745442708334
prompt79,0.0,0.5734748840332031,6,yes,70,70,0.0,0.037109375,1.0
prompt81,0.9134782184478261,2.5817811489105225,6,no,6,17,3.9296875,0.040283203125,0.299072265625
prompt82,0.8672623399486207,0.4715535640716553,6,no,242,623,6.3984375,0.030029296875,0.146240234375
prompt83,0.37719253055388746,0.5224175453186035,6,yes,600,600,3.61328125,0.045440673828125,0.1802978515625
prompt87,0.47890274794920157,1.7716784477233887,18,no,3000,9360,2.5091145833333335,0.045511881510416664,0.4428304036458333
prompt93,0.6693898785083755,0.7830209732055664,8,no,38.2,36,2.4130859375,0.045684814453125,0.3145345052083333
prompt94,0.810681582354005,0.574021577835083,6,no,134,348,4.78125,0.0443115234375,0.20703125
prompt96,0.6907098800477495,0.5400912761688232,6,no,7,3,2.376953125,0.039825439453125,0.420654296875
prompt97,0.6699036949034722,1.839033603668213,19,no,7.5,12,3.3121744791666665,0.052561442057291664,0.25146484375
