,buggy_prompt_ids
0,15
1,27
2,61
3,67
4,74
5,75
6,76
7,88
8,91
9,101
10,110
11,123
12,127
13,136
14,137
15,143
16,151
17,152
18,157
19,169
20,172
21,183
22,194
23,200
24,210
25,212
26,218
27,219
28,220
29,224
30,226
31,233
32,238
33,242
34,246
35,255
36,261
37,270
38,271
39,274
40,276
41,291
42,292
43,294
44,298
45,299
46,303
47,310
48,313
49,316
50,320
51,324
52,329
53,336
54,353
55,366
56,369
57,376
58,377
59,401
60,407
61,410
62,415
63,419
64,422
65,425
66,427
67,432
68,441
69,443
70,445
71,447
72,455
73,456
74,457
75,460
76,463
77,480
78,490
79,493
80,494
81,499
82,500
83,506
84,508
85,509
86,522
87,526
88,530
89,537
90,538
91,545
92,554
93,572
94,573
95,574
96,576
97,580
98,591
99,606
100,607
101,609
102,611
103,613
104,615
105,627
106,638
107,652
108,655
109,658
110,660
111,666
112,682
113,684
114,686
115,690
116,692
117,693
118,698
119,707
120,715
121,725
122,726
123,727
124,728
125,736
126,743
127,745
128,750
129,753
130,755
131,761
132,780
133,786
134,804
135,806
136,811
137,813
138,814
139,818
140,822
141,827
142,833
143,836
144,839
145,842
146,843
147,849
148,873
149,877
150,883
151,886
152,894
153,906
154,939
155,942
156,952
157,967
158,971
159,972
160,976
161,978
162,988
163,990
164,992
165,996
166,998
167,999
168,1010
169,1017
170,1019
171,1021
172,1028
173,1032
174,1036
175,1037
176,1038
177,1039
178,1045
179,1070
180,1076
181,1077
182,1086
183,1095
184,1098
185,1102
186,1105
187,1107
188,1108
189,1115
190,1139
191,1141
192,1143
193,1146
194,1160
195,1162
196,1168
197,1169
198,1172
199,1175
200,1180
201,1185
202,1189
203,1192
204,1199
205,1216
206,1218
207,1226
208,1230
209,1231
210,1237
211,1239
212,1240
213,1243
214,1244
215,1247
216,1251
217,1253
218,1261
219,1262
220,1269
221,1272
222,1275
223,1276
224,1281
225,1285
226,1291
227,1293
228,1300
229,1301
230,1302
231,1309
232,1311
233,1316
