,buggy_prompt_ids
0,1
1,3
2,6
3,7
4,8
5,10
6,12
7,13
8,17
9,18
10,20
11,22
12,29
13,30
14,33
15,34
16,38
17,39
18,41
19,42
20,43
21,44
22,45
23,46
24,47
25,48
26,51
27,55
28,57
29,59
30,61
31,63
32,64
33,69
34,71
35,72
36,74
37,76
38,78
39,79
40,84
41,87
42,91
43,93
44,98
45,99
46,101
47,104
48,106
49,109
50,113
51,118
52,119
53,122
54,124
55,125
56,126
57,128
58,130
59,131
60,133
61,136
62,137
63,140
64,141
65,142
66,143
67,144
68,146
69,153
70,154
71,158
72,159
73,161
74,163
75,164
76,165
77,166
78,171
79,172
80,174
81,175
82,177
83,182
84,186
85,187
86,189
87,190
88,191
89,192
90,193
91,194
92,195
93,199
94,201
95,204
96,205
97,209
98,213
99,214
100,215
101,216
102,221
103,225
104,227
105,228
106,229
107,230
108,231
109,232
110,235
111,240
112,241
113,242
114,246
115,249
116,255
117,256
118,257
119,259
120,261
121,263
122,264
123,267
124,268
125,271
126,274
127,276
128,279
129,282
130,283
131,284
132,287
133,288
134,290
135,292
136,295
137,296
138,297
139,299
140,301
141,304
142,305
143,307
144,308
145,310
146,314
147,315
148,316
149,317
150,318
151,319
152,321
153,324
154,325
155,326
156,329
157,331
158,333
159,334
160,336
161,342
162,345
163,347
164,349
165,350
166,353
167,354
168,360
169,361
170,362
171,363
172,366
173,369
174,370
175,374
176,376
177,380
178,382
179,383
180,384
181,385
182,386
183,388
184,390
185,392
186,393
187,395
188,397
189,398
190,401
191,402
192,403
193,404
194,405
195,406
196,407
197,408
198,410
199,411
200,413
201,414
202,416
203,419
204,420
205,422
206,423
207,424
208,425
209,433
210,434
211,439
212,441
213,443
214,444
215,445
216,448
217,451
218,456
219,457
220,461
221,463
222,464
223,465
224,466
225,467
226,473
227,474
228,477
229,479
230,481
231,483
232,485
233,486
234,489
235,490
236,492
237,493
238,494
239,495
240,496
241,497
242,499
243,501
244,502
245,506
246,507
247,508
248,509
249,511
250,516
251,519
252,522
253,523
254,524
255,525
256,526
257,529
258,530
259,532
260,534
261,535
262,536
263,537
264,539
265,540
266,544
267,545
268,546
269,547
270,548
271,550
272,551
273,553
274,556
275,557
276,559
277,560
278,561
279,562
280,563
281,565
282,566
283,570
284,572
285,573
286,574
287,575
288,576
289,577
290,578
291,580
292,581
293,583
294,584
295,585
296,588
297,589
298,590
299,595
300,596
301,598
302,599
303,601
304,602
305,603
306,606
307,608
308,609
309,611
310,614
311,615
312,617
313,621
314,622
315,624
316,626
317,627
318,631
319,633
320,635
321,637
322,642
323,644
324,646
325,647
326,648
327,652
328,654
329,655
330,658
331,661
332,662
333,664
334,665
335,666
336,667
337,668
338,669
339,670
340,673
341,674
342,675
343,681
344,682
345,683
346,685
347,687
348,688
349,689
350,690
351,691
352,692
353,693
354,695
355,696
356,699
357,700
358,701
359,702
360,704
361,705
362,707
363,708
364,709
365,710
366,711
367,714
368,715
369,718
370,719
371,723
372,724
373,725
374,726
375,727
376,728
377,729
378,730
379,731
380,733
381,735
382,736
383,738
384,739
385,740
386,741
387,742
388,744
389,746
390,747
391,748
392,749
393,750
394,753
395,756
396,757
397,758
398,760
399,761
400,763
401,765
402,766
403,771
404,774
405,775
406,777
407,778
408,779
409,780
410,781
411,783
412,784
413,786
414,787
415,789
416,791
417,793
418,795
419,796
420,798
421,800
422,802
423,803
424,809
425,813
426,814
427,815
428,818
429,819
430,820
431,821
432,822
433,823
434,825
435,826
436,827
437,829
438,834
439,837
440,839
441,840
442,841
443,844
444,849
445,850
446,851
447,855
448,858
449,861
450,863
451,865
452,866
453,868
454,869
455,872
456,875
457,876
458,877
459,882
460,883
461,885
462,888
463,892
464,893
465,897
466,899
467,900
468,901
469,902
470,904
471,906
472,907
473,908
474,909
475,912
476,915
477,917
478,921
479,925
480,926
481,927
482,931
483,932
484,935
485,938
486,939
487,941
488,943
489,944
490,946
491,948
492,951
493,952
494,957
495,958
496,959
497,960
498,962
499,963
500,965
501,966
502,968
503,970
504,971
505,972
506,977
507,978
508,981
509,983
510,984
511,985
512,986
513,988
514,989
515,990
516,992
517,993
518,994
519,995
520,996
521,997
522,998
523,999
524,1000
525,1003
526,1005
527,1006
528,1010
529,1013
530,1014
531,1018
532,1020
533,1022
534,1024
535,1025
536,1028
537,1030
538,1034
539,1035
540,1036
541,1037
542,1040
543,1041
544,1042
545,1043
546,1045
547,1046
548,1048
549,1049
550,1052
551,1053
552,1054
553,1057
554,1060
555,1063
556,1064
557,1066
558,1067
559,1068
560,1070
561,1073
562,1074
563,1078
564,1079
565,1080
566,1081
567,1082
568,1084
569,1086
570,1088
571,1094
572,1097
573,1099
574,1102
575,1103
576,1104
577,1108
578,1109
579,1112
580,1113
581,1115
582,1118
583,1119
584,1120
585,1122
586,1123
587,1124
588,1130
589,1132
590,1133
591,1135
592,1138
593,1139
594,1140
595,1141
596,1142
597,1145
598,1146
599,1148
600,1149
601,1152
602,1153
603,1158
604,1159
605,1164
606,1165
607,1166
608,1168
609,1171
610,1172
611,1173
612,1174
613,1175
614,1176
615,1177
616,1179
617,1180
618,1183
619,1184
620,1186
621,1189
622,1190
623,1191
624,1193
625,1195
626,1196
627,1199
628,1201
629,1209
630,1211
631,1213
632,1215
633,1216
634,1217
635,1218
636,1220
637,1221
638,1222
639,1223
640,1226
641,1228
642,1234
643,1235
644,1240
645,1244
646,1247
647,1248
648,1249
649,1250
650,1251
651,1253
652,1254
653,1255
654,1256
655,1257
656,1258
657,1259
658,1263
659,1264
660,1265
661,1267
662,1269
663,1276
664,1279
665,1280
666,1281
667,1282
668,1283
669,1285
670,1288
671,1292
672,1293
673,1294
674,1296
675,1298
676,1299
677,1302
678,1303
679,1306
680,1307
681,1308
682,1312
683,1315
684,1317
685,1318
