prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu
prompt0,0.699479785832351,3.19736647605896,15,no,82.33,18,3.18203125,0.08623046875
prompt1,,4.313124179840088,24,buggy,None,3,,
prompt2,0.08555435167700283,5.773770570755005,32,no,75000,70000,1.01220703125,0.0621337890625
prompt3,,27.898842096328735,154,buggy,None,540,,
prompt4,0.5062661849641252,3.0451159477233887,16,no,203,20,1.84375,0.06825764973958333
prompt5,0.0,5.27737832069397,29,no,90,64,,
prompt6,,37.1383798122406,200,buggy,None,260,,
prompt7,,4.981507301330566,27,buggy,None,160,,
prompt8,,39.28647232055664,200,buggy,None,45,,
prompt9,0.0,12.288901329040527,68,yes,460,460,,
prompt10,,14.084196329116821,78,buggy,None,366,,
prompt11,0.20865568786205382,14.101758480072021,78,no,680.0,694,0.9742838541666666,0.06109619140625
prompt12,,37.732900619506836,200,buggy,None,13,,
prompt13,,16.048213243484497,89,buggy,None,18,,
prompt14,0.0,5.30063533782959,29,no,55,60,,
prompt15,0.6505965264359913,3.0505573749542236,16,no,7500,125,3.47607421875,0.0976104736328125
prompt16,0.2112632021054791,10.649632692337036,59,yes,230,230,1.072265625,0.060699462890625
prompt17,,4.415734529495239,24,buggy,None,57500,,
prompt18,,36.73715400695801,200,buggy,None,7,,
prompt19,0.37200694283790886,20.35407280921936,111,no,4,6,1.0625,0.0716552734375
prompt20,,37.79472255706787,200,buggy,None,15,,
prompt21,0.0,6.18718147277832,34,yes,14,14,,
prompt22,,3.1887378692626953,17,buggy,None,7,,
prompt23,0.0,3.1571717262268066,17,yes,8,8,,
prompt24,0.0,21.615678310394287,120,no,70,26,,
prompt25,0.7109202593170734,2.662465810775757,14,no,2.75,2,2.5546875,0.075592041015625
prompt26,0.08500253961047076,19.05006504058838,104,yes,243.0,243,0.6767578125,0.056549072265625
prompt27,0.2961237642900648,23.592142820358276,128,yes,16.0,16,1.3138427734375,0.06467437744140625
