,buggy_prompt_ids
0,0
1,3
2,4
3,5
4,6
5,8
6,9
7,11
8,14
9,16
10,18
11,19
12,22
13,26
14,27
15,28
16,35
17,36
18,39
19,40
20,43
21,45
22,47
23,50
24,54
25,55
26,59
27,60
28,64
29,66
30,67
31,69
32,70
33,72
34,73
35,74
36,76
37,79
38,81
39,83
40,86
41,88
42,89
43,92
44,94
45,95
46,98
47,99
48,102
49,104
50,105
51,109
52,114
53,115
54,117
55,118
56,119
57,120
58,123
59,127
60,131
61,136
62,138
63,139
64,146
65,149
66,150
67,154
68,155
69,159
70,161
71,162
72,165
73,169
74,172
75,173
76,174
77,177
78,179
79,181
80,184
81,186
82,188
83,189
84,191
85,193
86,195
87,198
88,200
89,203
90,208
91,212
92,217
93,219
94,222
95,223
96,225
97,226
98,233
99,234
100,238
101,244
102,246
103,250
104,252
105,253
106,254
107,259
108,261
109,263
110,264
111,265
112,267
113,268
114,269
115,275
116,276
117,277
118,278
119,283
120,287
121,288
122,289
123,297
124,299
125,301
126,305
127,307
128,308
129,312
130,313
131,316
132,317
133,318
134,321
135,323
136,325
137,327
138,328
139,331
140,333
141,337
142,340
143,341
144,342
145,344
146,349
147,351
148,357
149,362
150,367
151,375
152,384
153,389
154,395
155,400
156,405
157,409
158,410
159,412
160,413
161,415
162,417
163,422
164,423
165,424
166,426
167,427
168,429
169,432
170,435
171,437
172,440
173,441
174,442
175,443
176,444
177,445
178,449
179,450
180,453
181,454
182,457
183,459
184,462
185,465
186,466
187,469
188,470
189,472
190,474
191,475
192,477
193,481
194,482
195,483
196,484
197,485
198,486
199,487
200,492
201,493
202,494
203,498
204,499
205,504
206,506
207,510
208,511
209,512
210,515
211,517
212,521
213,523
214,525
215,528
216,530
217,531
218,534
219,539
220,541
221,545
222,546
223,551
224,556
225,558
226,559
227,561
228,563
229,564
230,565
231,567
232,573
233,574
234,575
235,577
236,578
237,580
238,582
239,583
240,584
241,589
242,590
243,592
244,595
245,598
246,600
247,601
248,607
249,608
250,609
251,610
252,611
253,613
254,617
255,618
256,619
257,621
258,626
259,627
260,628
261,630
262,635
263,636
264,642
265,646
266,650
267,652
268,654
269,657
270,659
271,660
272,663
273,666
274,668
275,669
276,670
277,675
278,677
279,685
280,686
281,692
282,694
283,697
284,698
285,700
286,703
287,706
288,708
289,709
290,711
291,715
292,716
293,717
294,720
295,721
296,723
297,725
298,726
299,727
300,729
301,732
302,734
303,735
304,736
305,737
306,738
307,742
308,744
309,746
310,752
311,757
312,760
313,763
314,766
315,769
316,776
317,778
318,784
319,790
320,791
321,795
322,797
323,798
324,802
325,803
326,810
327,811
328,813
329,815
330,818
331,819
332,820
333,825
334,833
335,836
336,839
337,848
338,851
339,857
340,858
341,860
342,861
343,862
344,865
345,866
346,868
347,869
348,870
349,872
350,876
351,878
352,882
353,888
354,889
355,890
356,894
357,897
358,899
359,901
360,902
361,909
362,914
363,919
364,920
365,921
366,923
367,924
368,926
369,927
370,929
371,930
372,931
373,932
374,933
375,935
376,937
377,938
378,943
379,945
380,946
381,947
382,948
383,951
384,954
385,955
386,961
387,962
388,965
389,968
390,970
391,971
392,972
393,976
394,979
395,980
396,983
397,985
398,986
399,988
400,990
401,993
402,994
403,996
404,998
405,999
406,1002
407,1005
408,1006
409,1007
410,1012
411,1013
412,1016
413,1017
414,1022
415,1027
416,1029
417,1031
418,1041
419,1044
420,1046
421,1048
422,1049
423,1052
424,1054
425,1057
426,1061
427,1072
428,1077
429,1078
430,1080
431,1081
432,1086
433,1087
434,1089
435,1094
436,1098
437,1099
438,1100
439,1102
440,1107
441,1112
442,1115
443,1116
444,1118
445,1121
446,1123
447,1124
448,1125
449,1126
450,1130
451,1131
452,1132
453,1134
454,1136
455,1140
456,1141
457,1147
458,1148
459,1149
460,1151
461,1153
462,1157
463,1159
464,1162
465,1164
466,1165
467,1169
468,1170
469,1171
470,1173
471,1174
472,1181
473,1182
474,1185
475,1190
476,1191
477,1192
478,1194
479,1197
480,1198
481,1199
482,1200
483,1202
484,1207
485,1209
486,1211
487,1213
488,1214
489,1218
490,1219
491,1223
492,1227
493,1229
494,1231
495,1239
496,1240
497,1242
498,1243
499,1244
500,1246
501,1248
502,1250
503,1251
504,1253
505,1254
506,1255
507,1256
508,1257
509,1258
510,1261
511,1265
512,1270
513,1272
514,1273
515,1275
516,1280
517,1282
518,1284
519,1285
520,1286
521,1287
522,1288
523,1289
524,1291
525,1293
526,1294
527,1295
528,1297
529,1300
530,1301
531,1302
532,1303
533,1305
534,1306
535,1311
536,1312
537,1313
538,1314
539,1315
