prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu
prompt0,,8.032045125961304,31,buggy,None,18,,
prompt1,0.0,13.554748296737671,66,yes,3,3,,
prompt2,0.0,47.325055837631226,205,no,150000,70000,,
prompt3,,12.508974313735962,60,buggy,None,540,,
prompt4,,3.4029321670532227,14,buggy,None,20,,
prompt5,,34.735657930374146,155,buggy,None,64,,
prompt6,,112.956622838974,449,buggy,None,260,,
prompt7,0.0,55.81338691711426,234,no,50,160,,
prompt8,,110.83715844154358,421,buggy,None,45,,
prompt9,,236.74145126342773,800,buggy,None,460,,
prompt10,0.0,41.59515619277954,181,yes,366,366,,
prompt11,,2.2646484375,10,buggy,None,694,,
prompt12,0.634678511795142,43.11008334159851,186,no,4,13,1.0771484375,0.055938720703125
prompt13,0.0,26.069638967514038,117,no,13,18,,
prompt14,,25.04455876350403,113,buggy,None,60,,
prompt15,0.0,55.182472467422485,226,yes,125,125,,
prompt16,,19.031822681427002,87,buggy,None,230,,
prompt17,0.054664616633474016,32.941988706588745,147,yes,57500,57500,0.6748046875,0.054107666015625
prompt18,,22.681554555892944,106,buggy,None,7,,
prompt19,,30.17951536178589,134,buggy,None,6,,
prompt20,0.7814266634956066,3.287444591522217,15,no,1.5,15,3.26171875,0.08754475911458333
prompt21,0.0,26.98439860343933,122,no,23,14,,
prompt22,,22.60573124885559,102,buggy,None,7,,
prompt23,0.0,26.07104229927063,119,no,4,8,,
prompt24,0.0,16.24429440498352,76,no,14.625,26,,
prompt25,0.0,26.9817054271698,120,yes,2,2,,
prompt26,,11.013243198394775,50,buggy,None,243,,
prompt27,,69.575279712677,288,buggy,None,16,,
prompt28,,17.381497621536255,80,buggy,None,25,,
prompt29,0.0,63.48948860168457,264,no,98,104,,
prompt30,0.12398160473571426,12.459158182144165,59,no,21,109,1.3515625,0.07061767578125
prompt31,0.30933910658922886,33.12176823616028,147,no,100,80,1.080078125,0.0552978515625
prompt32,0.0,16.269035816192627,76,no,25,35,,
prompt33,0.0,21.1901695728302,99,no,80,70,,
prompt34,0.2157350366495028,24.293036699295044,111,no,26,23,0.6728515625,0.0638427734375
prompt35,,104.72559452056885,420,buggy,None,9,,
prompt36,,234.4309892654419,800,buggy,None,75,,
prompt37,0.0,37.30739092826843,164,no,13,2,,
prompt38,0.49336832181219514,36.96971607208252,166,no,60,10,1.8681640625,0.06781005859375
prompt39,,67.70823526382446,278,buggy,None,18,,
prompt40,,53.71821069717407,230,buggy,None,8,,
prompt41,0.0,26.34261465072632,110,no,1600,200,,
prompt42,0.0,25.651275873184204,112,yes,26,26,,
prompt43,,225.5383276939392,767,buggy,None,48,,
prompt44,0.0,33.31396198272705,144,no,30,20,,
prompt45,,230.0448293685913,765,buggy,None,104,,
prompt46,0.0,54.84806442260742,225,no,102,163,,
prompt47,,97.31206250190735,394,buggy,None,800,,
prompt48,0.0,11.891107082366943,57,yes,8,8,,
prompt49,0.6438393922260192,8.169379949569702,39,no,120,30,2.591796875,0.07584635416666667
prompt50,,9.549923181533813,46,buggy,None,294,,
prompt51,0.0,17.607211351394653,81,no,180,5,,
prompt52,0.3261561533672483,18.376251935958862,83,no,40,15,1.3603515625,0.055084228515625
prompt53,0.0,18.89636468887329,82,yes,40,40,,
prompt54,,35.30241823196411,151,buggy,None,40,,
prompt55,,32.694703102111816,147,buggy,None,14,,
prompt56,0.0,7.537981271743774,36,yes,3,3,,
