prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt1,0.7942144695752618,1.6397149562835693,13,no,36,3,3.017578125,0.0773162841796875,0.1424102783203125
prompt2,0.4705809696780786,1.6632161140441895,13,no,73000,70000,1.255078125,0.048468017578125,0.5327392578125
prompt3,0.5958154741083063,1.064789056777954,8,no,480,540,2.4241536458333335,0.053863525390625,0.116302490234375
prompt4,0.7638733301967897,1.3091251850128174,9,no,40,20,2.318359375,0.0494537353515625,0.20550537109375
prompt5,0.756218257287463,1.3288381099700928,10,no,7.92,64,2.71142578125,0.05506134033203125,0.1389007568359375
prompt6,0.8313067961765969,0.9526457786560059,7,no,10,260,2.6416015625,0.0596466064453125,0.155029296875
prompt8,0.8647444830142318,1.1691162586212158,8,no,91,45,2.53515625,0.052642822265625,0.14569091796875
prompt9,0.8228131936311799,1.0814883708953857,8,no,471,460,2.7578125,0.055074055989583336,0.14485677083333334
prompt10,0.8844814900632139,1.0846199989318848,8,no,25,366,2.4072265625,0.054443359375,0.18243408203125
prompt11,0.846511061181919,1.1996123790740967,9,no,208,694,3.23046875,0.06866455078125,0.17159016927083334
prompt12,0.6774960701964385,1.2023143768310547,9,no,29,13,2.7431640625,0.055511474609375,0.105621337890625
prompt13,0.8546970776173727,1.0842454433441162,8,no,10,18,2.3671875,0.053955078125,0.17950439453125
prompt14,0.7885252165013682,0.9597618579864502,7,no,30,60,2.76953125,0.063629150390625,0.108612060546875
prompt17,0.5364486531003417,1.791741132736206,14,no,76000.0,57500,2.46051025390625,0.056812286376953125,0.066864013671875
prompt19,0.6376901448518782,2.1702423095703125,17,no,712,6,2.828125,0.061086018880208336,0.12717692057291666
prompt20,0.9016699762739572,1.2015771865844727,9,no,5,15,2.279296875,0.0491943359375,0.237060546875
prompt21,0.7208455942043757,0.9647927284240723,7,no,4,14,3.17578125,0.06634521484375,0.062744140625
prompt23,0.653097405608791,1.0785081386566162,8,no,45,8,3.58203125,0.0659942626953125,0.0615692138671875
prompt24,0.5792152348189793,0.9529600143432617,7,no,5,26,3.98828125,0.082275390625,0.047332763671875
prompt25,0.905729404717769,10.513624906539917,82,no,12,2,2.224609375,0.053466796875,0.24041748046875
prompt26,0.792848889646032,1.086860179901123,8,no,32,243,3.0419921875,0.0619049072265625,0.1398773193359375
prompt29,0.7705455835151926,1.0938692092895508,8,no,18,104,3.255859375,0.06402587890625,0.139068603515625
prompt30,0.8575608667575023,2.3759896755218506,19,no,28,109,2.6201171875,0.054351806640625,0.15582275390625
