,buggy_prompt_ids
0,1
1,4
2,7
3,9
4,14
5,15
6,16
7,43
8,45
9,49
10,61
11,64
12,67
13,73
14,83
15,85
16,90
17,93
18,99
19,107
20,108
21,110
22,111
23,116
24,117
25,123
26,149
27,155
28,156
29,160
30,179
31,185
32,188
33,189
34,203
35,208
36,211
37,237
38,245
39,246
40,248
41,249
42,252
43,255
44,257
45,261
46,265
47,268
48,276
49,283
50,288
51,289
52,295
53,307
54,310
55,314
56,315
57,318
58,325
59,327
60,329
61,339
62,345
63,348
64,349
65,357
66,359
67,361
68,362
69,364
70,367
71,369
72,370
73,371
74,372
75,377
76,387
77,388
78,389
79,391
80,404
81,405
82,418
83,420
84,421
85,429
86,430
87,437
88,440
89,446
90,447
91,454
92,457
93,474
94,480
95,482
96,485
97,488
98,499
99,504
100,508
101,509
102,517
103,518
104,523
105,528
106,533
107,544
108,545
109,546
110,547
111,557
112,563
113,571
114,575
115,581
116,587
117,598
118,605
119,606
120,611
121,613
122,614
123,619
124,622
125,624
126,625
127,632
128,640
129,644
130,645
131,648
132,651
133,655
134,663
135,664
136,669
137,670
138,671
139,677
140,682
141,692
142,705
143,706
144,707
145,709
146,713
147,722
148,723
149,724
150,728
151,730
152,740
153,746
154,751
155,753
156,765
157,771
158,773
159,775
160,779
161,782
162,784
163,786
164,803
165,816
166,820
167,821
168,831
169,844
170,847
171,864
172,868
173,869
174,872
175,877
176,882
177,883
178,886
179,890
180,895
181,903
182,905
183,906
184,907
185,912
186,918
187,919
188,920
189,922
190,928
191,931
192,950
193,952
194,954
195,960
196,969
197,972
198,975
199,978
200,980
201,981
202,990
203,992
204,993
205,995
206,998
207,1003
208,1010
209,1012
210,1013
211,1016
212,1017
213,1038
214,1045
215,1051
216,1057
217,1069
218,1070
219,1080
220,1082
221,1088
222,1089
223,1090
224,1091
225,1094
226,1096
227,1102
228,1103
229,1109
230,1115
231,1127
232,1132
233,1138
234,1142
235,1143
236,1153
237,1156
238,1160
239,1164
240,1165
241,1170
242,1171
243,1172
244,1173
245,1175
246,1179
247,1181
248,1182
249,1194
250,1198
251,1203
252,1204
253,1212
254,1215
255,1216
256,1217
257,1219
258,1221
259,1226
260,1231
261,1233
262,1245
263,1249
264,1250
265,1251
266,1253
267,1264
268,1270
269,1277
270,1278
271,1280
272,1282
273,1297
274,1298
275,1300
276,1303
277,1318
