,buggy_prompt_ids
0,2
1,5
2,7
3,11
4,13
5,15
6,17
7,23
8,25
9,29
10,33
11,35
12,43
13,67
14,69
15,73
16,74
17,77
18,85
19,89
20,91
21,92
22,95
23,97
24,98
25,103
26,108
27,109
28,113
29,114
30,120
31,129
32,133
33,144
34,146
35,158
36,166
37,171
38,173
39,178
40,182
41,183
42,191
43,197
44,199
45,209
46,219
47,222
48,228
49,244
50,247
51,277
52,278
53,282
54,287
55,291
56,298
57,300
58,306
59,313
60,316
61,323
62,330
63,336
64,342
65,343
66,346
67,352
68,356
69,357
70,360
71,363
72,364
73,366
74,367
75,368
76,371
77,372
78,379
79,381
80,395
81,400
82,405
83,407
84,412
85,416
86,417
87,420
88,422
89,424
90,429
91,430
92,442
93,444
94,454
95,455
96,457
97,461
98,463
99,466
100,474
101,481
102,482
103,490
104,492
105,498
106,499
107,501
108,502
109,503
110,507
111,509
112,511
113,514
114,527
115,531
116,538
117,547
118,567
119,589
120,590
121,594
122,599
123,601
124,608
125,609
126,610
127,612
128,614
129,623
130,629
131,631
132,634
133,639
134,643
135,644
136,653
137,659
138,670
139,676
140,681
141,688
142,690
143,713
144,714
145,717
146,721
147,728
148,730
149,733
150,743
151,751
152,756
153,769
154,770
155,778
156,781
157,783
158,790
159,793
160,795
161,796
162,799
163,800
164,809
165,811
166,812
167,813
168,818
169,820
170,824
171,827
172,831
173,849
174,852
175,855
176,865
177,868
178,871
179,872
180,878
181,893
182,899
183,903
184,904
185,911
186,928
187,932
188,937
189,939
190,943
191,949
192,950
193,951
194,955
195,963
196,967
197,977
198,982
199,992
200,994
201,998
202,999
203,1001
204,1012
205,1016
206,1019
207,1020
208,1025
209,1031
210,1036
211,1038
212,1039
213,1041
214,1042
215,1043
216,1047
217,1050
218,1052
219,1054
220,1055
221,1057
222,1059
223,1074
224,1076
225,1094
226,1096
227,1097
228,1098
229,1120
230,1122
231,1125
232,1127
233,1137
234,1139
235,1143
236,1164
237,1177
238,1184
239,1190
240,1191
241,1192
242,1195
243,1196
244,1201
245,1202
246,1203
247,1205
248,1207
249,1210
250,1219
251,1225
252,1230
253,1231
254,1238
255,1240
256,1252
257,1254
258,1257
259,1266
260,1271
261,1273
262,1280
263,1283
264,1285
265,1289
266,1298
267,1299
268,1302
269,1303
270,1304
271,1307
272,1309
273,1312
