prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.8048718348879507,1.6931166648864746,11,no,3.0,18,2.20703125,0.05254364013671875,0.22222900390625
prompt1,0.5915283247866945,0.7142212390899658,5,no,4,3,3.6953125,0.07012939453125,0.051849365234375
prompt2,0.37879678032120695,2.774038553237915,14,no,27500,70000,1.5064453125,0.050518798828125,0.5059326171875
prompt3,0.6491874143744709,0.9417831897735596,7,no,18,540,2.3310546875,0.0545654296875,0.1767578125
prompt4,0.7361407781183035,1.0481486320495605,7,no,8,20,2.7421875,0.055511474609375,0.10455322265625
prompt5,0.9177389991044941,1.2868385314941406,10,no,30,64,2.271484375,0.05364990234375,0.21722412109375
prompt6,0.8290434026369817,1.0735909938812256,8,no,77,260,2.7734375,0.058074951171875,0.11199951171875
prompt7,0.7621178219977176,1.8780617713928223,15,no,834.0,160,2.12451171875,0.05162811279296875,0.1917724609375
prompt8,0.7082683937275681,1.1593444347381592,8,no,97,45,3.5361328125,0.0661773681640625,0.0667724609375
prompt9,0.7105505934131648,1.323065996170044,10,no,548,460,3.287109375,0.06712849934895833,0.09009806315104167
prompt10,0.777752425031118,1.2017216682434082,9,no,460,366,2.5397135416666665,0.05364990234375,0.15433756510416666
prompt11,0.8563757837433018,2.115205764770508,17,no,428,694,2.978515625,0.057881673177083336,0.1578369140625
prompt12,0.7706583839822239,0.9605934619903564,7,no,3,13,2.740234375,0.05908203125,0.10577392578125
prompt13,0.8053483637064407,0.9456369876861572,7,no,5,18,2.16796875,0.06207275390625,0.2437744140625
prompt14,0.6990017883193945,0.8475949764251709,6,no,7,60,3.1640625,0.0792236328125,0.06243896484375
prompt16,0.43866747207877843,1.5450420379638672,12,yes,230,230,1.3619791666666667,0.053843180338541664,0.4891357421875
prompt17,0.35915327116522405,1.5306687355041504,12,no,60000,57500,1.726953125,0.053594970703125,0.47520751953125
prompt18,0.5854633191485961,1.068971872329712,8,no,42,7,2.9111328125,0.0590972900390625,0.085693359375
prompt19,0.5634345269386349,1.1969807147979736,9,no,2.5,6,2.888671875,0.059560139973958336,0.11086018880208333
prompt20,0.710530463647579,0.9633581638336182,7,no,5,15,3.17578125,0.06640625,0.06451416015625
prompt21,0.745651845581827,2.9775307178497314,24,no,181998.0,14,1.8264508928571428,0.053497314453125,0.24055698939732142
prompt22,0.8788631610513227,0.9554011821746826,7,no,4,7,2.375,0.05084228515625,0.196044921875
prompt24,0.7526702022054008,1.5447769165039062,12,no,14.18,26,2.28046875,0.055035400390625,0.19345703125
prompt25,0.7948406502606418,0.8347840309143066,6,no,5,2,2.80078125,0.057220458984375,0.098388671875
prompt26,0.8557005023319011,1.2170569896697998,9,no,145,243,2.7877604166666665,0.058197021484375,0.172271728515625
prompt27,0.6975394892872301,1.6823956966400146,13,no,33.6,16,2.2208984375,0.05255126953125,0.17886962890625
prompt28,0.6535159156599986,1.083604097366333,8,no,35,25,1.8740234375,0.0557861328125,0.15081787109375
prompt29,0.7793752191646326,4.208998203277588,34,no,49.25,104,2.328125,0.051007080078125,0.178350830078125
prompt30,0.4188425836535159,3.5680668354034424,29,no,1071621199,109,1.3341796875,0.0477783203125,0.361322021484375
prompt31,0.7630462069451744,1.3161180019378662,10,no,31.6,80,2.86767578125,0.0623321533203125,0.15351104736328125
prompt32,0.5128182182611295,1.0674991607666016,8,no,20,35,2.30029296875,0.053314208984375,0.114776611328125
prompt33,0.46289894156301126,1.0519933700561523,8,no,80,70,1.56494140625,0.04931640625,0.07964324951171875
prompt34,0.833156502187216,1.074460744857788,8,no,54,23,2.3544921875,0.055084228515625,0.1973876953125
prompt35,0.8272024811731479,1.0570037364959717,8,no,46,9,2.8173828125,0.054107666015625,0.13037109375
prompt36,0.6700750831699983,1.0741801261901855,8,no,15,75,2.8583984375,0.0579376220703125,0.0918426513671875
prompt37,0.8014215508280145,0.9593794345855713,7,no,8,2,2.859375,0.056610107421875,0.09136962890625
prompt38,0.7010634071998683,1.4104654788970947,10,no,15,10,3.54296875,0.0678863525390625,0.070281982421875
prompt39,0.5778513656343701,0.8445563316345215,6,no,3,18,4.1328125,0.09814453125,0.039794921875
prompt40,0.47823457603864533,1.0757195949554443,8,no,22,8,3.2822265625,0.065155029296875,0.0581512451171875
prompt41,0.5956034260834796,1.3195672035217285,9,no,600,200,2.0113932291666665,0.0506591796875,0.20560709635416666
prompt42,0.8287307618179189,1.2108778953552246,9,no,25,26,2.41796875,0.051055908203125,0.1663818359375
prompt43,0.5944039027577833,1.1815447807312012,9,no,300,48,2.763671875,0.056182861328125,0.11860148111979167
prompt44,0.6676540994738922,1.094040870666504,8,no,21.6,20,3.14501953125,0.06156158447265625,0.10662078857421875
