,buggy_prompt_ids
0,24
1,30
2,38
3,39
4,48
5,54
6,58
7,62
8,67
9,75
10,85
11,86
12,91
13,92
14,101
15,114
16,116
17,119
18,125
19,137
20,140
21,150
22,157
23,171
24,181
25,183
26,184
27,189
28,214
29,215
30,224
31,228
32,235
33,239
34,246
35,247
36,257
37,267
38,273
39,274
40,288
41,299
42,300
43,301
44,302
45,309
46,311
47,314
48,317
49,320
50,331
51,333
52,335
53,338
54,343
55,346
56,353
57,363
58,369
59,370
60,383
61,384
62,385
63,405
64,407
65,411
66,423
67,433
68,441
69,445
70,450
71,455
72,458
73,460
74,463
75,478
76,492
77,499
78,501
79,504
80,508
81,510
82,511
83,514
84,517
85,518
86,521
87,532
88,533
89,534
90,539
91,547
92,549
93,550
94,555
95,561
96,572
97,580
98,583
99,584
100,586
101,589
102,591
103,606
104,608
105,609
106,610
107,613
108,614
109,626
110,630
111,633
112,640
113,642
114,654
115,660
116,663
117,664
118,665
119,682
120,688
121,689
122,691
123,695
124,696
125,697
126,698
127,706
128,707
129,724
130,725
131,729
132,736
133,740
134,743
135,749
136,754
137,757
138,760
139,774
140,777
141,782
142,787
143,793
144,799
145,804
146,812
147,813
148,818
149,825
150,832
151,843
152,848
153,851
154,854
155,855
156,857
157,861
158,865
159,868
160,871
161,876
162,887
163,889
164,901
165,916
166,920
167,931
168,934
169,936
170,953
171,955
172,957
173,960
174,963
175,965
176,968
177,978
178,980
179,983
180,989
181,992
182,993
183,1000
184,1004
185,1009
186,1011
187,1012
188,1013
189,1019
190,1029
191,1030
192,1032
193,1034
194,1035
195,1038
196,1040
197,1048
198,1052
199,1058
200,1063
201,1065
202,1073
203,1074
204,1089
205,1092
206,1096
207,1099
208,1103
209,1105
210,1117
211,1139
212,1142
213,1144
214,1155
215,1160
216,1174
217,1182
218,1196
219,1203
220,1207
221,1212
222,1213
223,1216
224,1219
225,1223
226,1226
227,1234
228,1235
229,1238
230,1239
231,1240
232,1243
233,1253
234,1255
235,1259
236,1262
237,1270
238,1275
239,1279
240,1280
241,1286
242,1288
243,1289
244,1290
245,1294
246,1317
