prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,7.743124008178711,42,no,30,18,0.0,0.0426177978515625,1.0
prompt1,0.0,4.998095989227295,29,no,200,3,0.0,0.041605631510416664,1.0
prompt2,0.043534145819561734,9.576184034347534,54,yes,70000,70000,0.216015625,0.040460205078125,0.808123779296875
prompt3,0.42444763378352984,3.2699084281921387,18,no,3360,540,1.3287353515625,0.0527801513671875,0.37178802490234375
prompt4,0.0,5.87875509262085,32,no,40,20,0.0,0.0409698486328125,1.0
prompt5,0.0,3.822763442993164,21,no,9,64,0.0,0.044036865234375,1.0
prompt6,0.08131890054931258,5.196666717529297,29,no,24,260,0.33642578125,0.0474090576171875,0.59893798828125
prompt7,0.12000654516829486,35.35996198654175,191,no,1568.84,160,0.29073660714285715,0.04334803989955357,0.6678902762276786
prompt8,0.0,6.1893532276153564,33,no,27,45,0.0,0.0419464111328125,1.0
prompt9,0.24422678027411102,7.026871681213379,39,no,10,460,0.5390625,0.0462799072265625,0.62274169921875
prompt10,0.0,7.7235987186431885,43,no,39,366,0.0,0.0438232421875,1.0
prompt11,0.0,6.858541250228882,38,no,518,694,0.0,0.042287190755208336,1.0
prompt12,0.0,7.327803134918213,41,no,166,13,0.0,0.042124430338541664,1.0
prompt13,0.0,4.7465598583221436,26,no,7,18,0.0,0.042083740234375,1.0
prompt14,0.0,22.892927169799805,128,no,15,60,0.0,0.040863037109375,1.0
prompt15,0.24735343748716293,10.405190467834473,58,no,84.8,125,0.624609375,0.045068359375,0.4776885986328125
prompt16,0.8255779714607365,5.951390266418457,33,no,65,230,2.25390625,0.055206298828125,0.20025634765625
prompt17,0.06859493614284191,8.436510562896729,47,no,1650,57500,0.169677734375,0.04273223876953125,0.7538204193115234
prompt18,0.0,4.346055269241333,25,no,168,7,0.0,0.040761311848958336,1.0
prompt19,0.0,9.706595659255981,54,no,14,6,0.0,0.042572021484375,1.0
