,buggy_prompt_ids
0,5
1,7
2,8
3,11
4,13
5,14
6,15
7,17
8,18
9,19
10,20
11,21
12,23
13,28
14,29
15,35
16,38
17,42
18,45
19,48
20,52
21,53
22,54
23,56
24,62
25,63
26,67
27,75
28,78
29,82
30,83
31,90
32,92
33,96
34,102
35,106
36,109
37,116
38,118
39,125
40,128
41,129
42,130
43,135
44,137
45,138
46,141
47,142
48,144
49,149
50,150
51,154
52,157
53,165
54,170
55,173
56,174
57,176
58,177
59,182
60,183
61,184
62,186
63,187
64,188
65,189
66,193
67,196
68,197
69,201
70,202
71,206
72,207
73,208
74,211
75,212
76,218
77,224
78,226
79,227
80,231
81,233
82,234
83,238
84,239
85,241
86,242
87,244
88,247
89,248
90,249
91,252
92,253
93,255
94,256
95,260
96,261
97,265
98,271
99,281
100,287
101,289
102,290
103,292
104,293
105,294
106,297
107,310
108,313
109,316
110,320
111,322
112,329
113,330
114,332
115,335
116,347
117,348
118,352
119,354
120,361
121,363
122,369
123,372
124,378
125,383
126,385
127,386
128,395
129,398
130,405
131,406
132,407
133,408
134,411
135,413
136,418
137,423
138,424
139,426
140,428
141,430
142,432
143,434
144,435
145,436
146,440
147,443
148,444
149,445
150,447
151,449
152,451
153,456
154,458
155,463
156,466
157,473
158,475
159,477
160,480
161,482
162,486
163,487
164,489
165,490
166,494
167,497
168,501
169,502
170,503
171,505
172,507
173,518
174,520
175,523
176,525
177,528
178,536
179,538
180,541
181,544
182,546
183,552
184,555
185,557
186,563
187,568
188,569
189,574
190,576
191,581
192,582
193,587
194,588
195,591
196,597
197,599
198,604
199,608
200,609
201,611
202,612
203,617
204,618
205,620
206,621
207,624
208,625
209,633
210,639
211,640
212,641
213,642
214,649
215,650
216,651
217,653
218,654
219,655
220,656
221,659
222,661
223,664
224,665
225,666
226,667
227,671
228,673
229,675
230,680
231,683
232,686
233,687
234,688
235,690
236,691
237,693
238,695
239,696
240,702
241,703
242,705
243,706
244,707
245,710
246,714
247,716
248,720
249,721
250,724
251,726
252,729
253,740
254,749
255,751
256,756
257,761
258,762
259,764
260,770
261,772
262,774
263,775
264,779
265,786
266,803
267,804
268,807
269,810
270,815
271,818
272,822
273,828
274,832
275,833
276,840
277,842
278,843
279,845
280,856
281,857
282,858
283,859
284,862
285,866
286,876
287,877
288,878
289,881
290,884
291,887
292,888
293,890
294,892
295,898
296,900
297,904
298,911
299,912
300,915
301,916
302,918
303,919
304,920
305,922
306,923
307,930
308,931
309,932
310,934
311,937
312,939
313,941
314,942
315,953
316,958
317,960
318,964
319,968
320,973
321,975
322,977
323,982
324,983
325,988
326,989
327,990
328,993
329,994
330,999
331,1001
332,1002
333,1005
334,1006
335,1009
336,1011
337,1012
338,1013
339,1014
340,1026
341,1027
342,1028
343,1029
344,1033
345,1038
346,1044
347,1049
348,1052
349,1056
350,1061
351,1062
352,1064
353,1067
354,1069
355,1070
356,1073
357,1074
358,1076
359,1077
360,1079
361,1081
362,1082
363,1085
364,1088
365,1094
366,1096
367,1102
368,1105
369,1110
370,1111
371,1112
372,1117
373,1118
374,1119
375,1123
376,1125
377,1127
378,1130
379,1132
380,1137
381,1140
382,1141
383,1143
384,1144
385,1152
386,1153
387,1156
388,1157
389,1158
390,1165
391,1166
392,1169
393,1176
394,1183
395,1190
396,1193
397,1195
398,1196
399,1201
400,1202
401,1206
402,1207
403,1209
404,1215
405,1217
406,1218
407,1229
408,1231
409,1232
410,1235
411,1238
412,1244
413,1246
414,1248
415,1251
416,1252
417,1253
418,1254
419,1258
420,1259
421,1263
422,1264
423,1267
424,1268
425,1271
426,1275
427,1276
428,1279
429,1284
430,1285
431,1287
432,1292
433,1297
434,1299
435,1301
436,1306
437,1307
438,1310
439,1313
