prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,26.69993805885315,122,no,0,18,0.0,0.041473388671875,1.0
prompt1,0.0,9.83052659034729,49,yes,3,3,0.0,0.042510986328125,1.0
prompt2,0.0,18.154905557632446,85,no,125000,70000,0.0,0.0398101806640625,1.0
prompt3,0.0,11.589785814285278,57,no,180,540,0.0,0.04119873046875,1.0
prompt4,0.0,33.79571032524109,146,no,120,20,0.0,0.040242513020833336,1.0
prompt6,0.0,58.13286375999451,259,no,8,260,0.0,0.042327880859375,1.0
prompt9,0.0,18.062958002090454,84,no,5400,460,0.0,0.03966522216796875,1.0
prompt10,0.0,22.504737377166748,104,no,276,366,0.0,0.041514078776041664,1.0
prompt12,0.33108723991923694,33.98431754112244,154,no,7,13,1.3662109375,0.048126220703125,0.26953125
prompt16,0.1520418353529829,15.685157537460327,74,no,115,230,0.22688802083333334,0.04302978515625,0.737060546875
prompt22,0.0,27.398205757141113,126,no,9,7,0.0,0.0418701171875,1.0
prompt24,0.0,14.9929838180542,72,no,24,26,0.0,0.0428466796875,1.0
prompt25,0.0,23.620664596557617,108,no,3,2,0.0,0.04327392578125,1.0
prompt26,0.05359621454720981,52.22211766242981,229,no,243.5,243,0.11360677083333333,0.0406341552734375,0.8355890909830729
prompt27,0.0,29.296629428863525,134,yes,16,16,0.0,0.0421295166015625,1.0
prompt30,0.0,14.073503971099854,68,no,147,109,0.0,0.041605631510416664,1.0
prompt31,0.0,22.753231048583984,105,no,75,80,0.0,0.0408172607421875,1.0
prompt32,0.16364522811417526,19.94813346862793,95,no,5.5,35,0.4423828125,0.04271697998046875,0.807159423828125
prompt33,0.0,11.353785276412964,56,no,140,70,0.0,0.041422526041666664,1.0
prompt34,0.1231010535657163,193.8995645046234,712,no,83,23,0.33935546875,0.04364013671875,0.58892822265625
prompt36,0.0,20.9672634601593,99,yes,75,75,0.0,0.0415496826171875,1.0
prompt37,0.0,29.930847883224487,137,no,35,2,0.0,0.0408477783203125,1.0
prompt39,0.18125265283238226,44.423094272613525,197,no,39.666,18,0.4091796875,0.042108154296875,0.65625
prompt40,0.0,16.274239778518677,77,no,6,8,0.0,0.040679931640625,1.0
prompt41,0.1834108304393991,127.07310056686401,479,no,400,200,0.3600260416666667,0.042429606119791664,0.7271321614583334
prompt43,0.0,23.521164894104004,108,no,3.5,48,0.0,0.03977203369140625,1.0
prompt44,0.0,19.75113296508789,89,no,100,20,0.0,0.04046630859375,1.0
prompt46,0.12151606145971994,27.581436157226562,123,no,57,163,0.338623046875,0.04351806640625,0.5804443359375
prompt47,0.0,22.296725511550903,104,no,25000,800,0.0,0.0402099609375,1.0
prompt49,0.07405435339682932,63.247987270355225,280,no,0.625,30,0.1697998046875,0.041107177734375,0.797637939453125
prompt50,0.0,18.38211154937744,88,no,2520,294,0.0,0.04241943359375,1.0
prompt51,0.0,22.70141887664795,106,no,16,5,0.0,0.04180908203125,1.0
prompt55,0.0,18.43682861328125,87,yes,14,14,0.0,0.04144287109375,1.0
prompt57,0.0,26.08022117614746,118,no,1245,83,0.0,0.04080963134765625,1.0
prompt58,0.8038365884194563,6.29022479057312,28,no,29,57,2.81640625,0.061737060546875,0.102874755859375
prompt59,0.0,38.060870885849,177,no,847,187,0.0,0.042409261067708336,1.0
prompt60,0.08893566816979503,11.044384002685547,54,no,7.5,17,0.17041015625,0.04148101806640625,0.760009765625
prompt61,0.0,24.703129768371582,114,no,1300,1430,0.0,0.0406646728515625,1.0
prompt64,0.0,12.246782779693604,55,no,8,300,0.0,0.041778564453125,1.0
prompt65,0.0,15.105554580688477,72,no,12,36,0.0,0.041229248046875,1.0
prompt66,0.0,20.784868717193604,97,no,52,48,0.0,0.0407257080078125,1.0
prompt68,0.3644969013254623,12.910122632980347,63,no,35,36,1.1318359375,0.0507354736328125,0.2435302734375
prompt69,0.20785573110377784,13.250734806060791,63,no,100,60,0.3600260416666667,0.042317708333333336,0.7337239583333334
prompt70,0.0,21.76806664466858,102,no,1500,7425,0.0,0.0410919189453125,1.0
prompt71,0.0,13.956529378890991,67,no,40,60,0.0,0.0410308837890625,1.0
prompt72,0.0,19.20290184020996,90,no,202,221,0.0,0.041056315104166664,1.0
prompt73,0.0,14.403587102890015,69,no,250,255,0.0,0.041249593098958336,1.0
prompt74,0.1822740921895799,27.203702211380005,119,no,0.0,88,0.17041015625,0.0399169921875,0.760009765625
prompt76,0.12442188032071325,37.188124656677246,164,no,9.157,5,0.17041015625,0.04195404052734375,0.760009765625
prompt77,0.4026741818532204,22.63336730003357,106,no,200,100,1.0826822916666667,0.047373453776041664,0.4294230143229167
prompt79,0.0,13.15645456314087,63,yes,70,70,0.0,0.0404510498046875,1.0
prompt80,0.0,22.702656745910645,108,no,17,10,0.0,0.0414886474609375,1.0
prompt81,0.0,21.436490058898926,99,no,59,17,0.0,0.0402069091796875,1.0
prompt84,0.0,9.837097644805908,49,no,30,15,0.0,0.0408477783203125,1.0
prompt85,0.0,30.060001611709595,134,no,50,44,0.0,0.0404815673828125,1.0
prompt86,0.0,27.103535175323486,122,no,42,22,0.0,0.04150390625,1.0
prompt87,0.0,30.950478076934814,139,no,720,9360,0.0,0.039723714192708336,1.0
prompt88,0.0,19.51606512069702,93,no,8800,8000,0.0,0.0387725830078125,1.0
prompt89,0.0,32.63826894760132,150,no,128,24,0.0,0.0418701171875,1.0
prompt91,0.8574356716860525,13.696765422821045,66,no,21,28,2.431640625,0.0519866943359375,0.173736572265625
prompt93,0.0,17.987394094467163,81,yes,36,36,0.0,0.042999267578125,1.0
prompt94,0.0,11.084192276000977,53,no,108,348,0.0,0.040964762369791664,1.0
prompt95,0.08567762884080254,24.478041648864746,115,no,2800,40,0.169677734375,0.04225921630859375,0.810333251953125
prompt97,0.0,38.89461398124695,175,no,36,12,0.0,0.0412750244140625,1.0
prompt98,0.0,20.531274795532227,92,no,4,5,0.0,0.04278564453125,1.0
prompt99,0.0,23.184502124786377,104,no,80,58,0.0,0.041015625,1.0
prompt100,0.0,17.41901469230652,78,no,110,175,0.0,0.040852864583333336,1.0
prompt101,0.0,18.938388347625732,86,no,4,6,0.0,0.0406494140625,1.0
prompt103,0.0,43.65728831291199,195,no,42,140,0.0,0.041046142578125,1.0
prompt104,0.0,16.553718328475952,78,no,583,500,0.0,0.041666666666666664,1.0
prompt105,0.0,16.15963101387024,78,no,9,20,0.0,0.04339599609375,1.0
prompt107,0.2129172729055093,39.23953652381897,168,no,0,3,0.677734375,0.045684814453125,0.2047119140625
prompt108,0.21203672173551133,21.790963172912598,98,no,110,50,0.22688802083333334,0.043070475260416664,0.737060546875
prompt110,0.07607962108782466,26.2109637260437,117,no,6.7,45,0.22623697916666666,0.041768391927083336,0.8082682291666666
prompt111,0.0,13.013702630996704,60,no,48,16,0.0,0.041290283203125,1.0
prompt112,0.0,7.679023504257202,36,yes,24,24,0.0,0.040740966796875,1.0
prompt113,0.0,14.512515544891357,71,no,31,25,0.0,0.041900634765625,1.0
prompt114,0.0,27.154142379760742,121,no,54000,6,0.0,0.039678955078125,1.0
prompt115,0.0,27.480303287506104,122,no,24,90,0.0,0.041717529296875,1.0
prompt117,0.0,10.73620080947876,53,no,180,360,0.0,0.041361490885416664,1.0
prompt119,0.04994486236228489,41.49813508987427,182,no,61480,95200,0.135546875,0.04251708984375,0.8849609375
prompt120,0.2846409064494025,14.955710411071777,72,no,214,240,0.9459635416666666,0.045694986979166664,0.08062744140625
prompt121,0.0,34.83918786048889,159,no,39,27,0.0,0.0413970947265625,1.0
prompt122,0.0,20.17539095878601,93,no,19,48,0.0,0.041656494140625,1.0
prompt123,0.0,23.050419092178345,109,no,70,50,0.0,0.0399932861328125,1.0
prompt124,0.0,18.57554841041565,84,no,30,10,0.0,0.0415802001953125,1.0
prompt126,0.0,16.327450037002563,76,no,50,82,0.0,0.03973388671875,1.0
prompt127,0.0,13.427438259124756,65,no,40,120,0.0,0.0423431396484375,1.0
prompt131,0.0,12.133038520812988,59,no,440,940,0.0,0.040974934895833336,1.0
prompt132,0.0,16.778538703918457,78,no,24,60,0.0,0.0413055419921875,1.0
prompt133,0.0,19.030820608139038,89,no,26,13,0.0,0.0422515869140625,1.0
prompt134,0.0,10.727502346038818,53,yes,720,720,0.0,0.039265950520833336,1.0
prompt136,0.0,13.443304061889648,64,no,9,6,0.0,0.04156494140625,1.0
prompt139,0.0,18.090227365493774,85,no,30,70,0.0,0.0416717529296875,1.0
prompt140,0.2850637654340097,15.889543056488037,76,no,12,20,1.02734375,0.04571533203125,0.61651611328125
prompt143,0.2778618629991107,19.423876523971558,90,no,16991240,16,0.56561279296875,0.043857574462890625,0.615570068359375
prompt145,0.0,17.688814163208008,83,no,1200,4000,0.0,0.0403594970703125,1.0
prompt146,0.0,12.847314357757568,58,no,2100,2125,0.0,0.0414886474609375,1.0
prompt147,0.0,52.40674161911011,221,no,125,75,0.0,0.040730794270833336,1.0
prompt148,0.2678636659133827,9.582351446151733,44,no,8,30,0.6767578125,0.049163818359375,0.151123046875
prompt151,0.0,34.750189781188965,152,no,105,5,0.0,0.039886474609375,1.0
