prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.7486843968303925,2.3174960613250732,9,no,106,18,1.8177083333333333,0.037933349609375,0.436767578125
prompt9,0.0,1.649402141571045,11,no,420,460,0.0,0.026652018229166668,1.0
prompt11,0.7714455722360612,1.6541707515716553,11,no,2498,694,1.8837890625,0.03679656982421875,0.4007568359375
prompt12,0.8191799428996016,1.241312026977539,8,no,7,13,1.7763671875,0.03338623046875,0.37939453125
prompt16,0.0,1.491048812866211,10,yes,230,230,0.0,0.0298004150390625,1.0
prompt23,0.5480735252464634,1.08601713180542,7,no,12,8,1.5712890625,0.0397186279296875,0.3035888671875
prompt26,0.34828733943986395,1.6493754386901855,11,no,270,243,0.6844075520833334,0.029856363932291668,0.4991861979166667
prompt27,0.0,1.5051405429840088,10,yes,16,16,0.0,0.0269775390625,1.0
prompt32,0.23316994981546263,1.3518972396850586,9,yes,35,35,0.341796875,0.02983856201171875,0.61541748046875
prompt37,0.5545899605242418,0.9662909507751465,6,no,0,2,1.591796875,0.03656005859375,0.218017578125
prompt38,0.6568620825950254,1.3483400344848633,9,yes,10,10,1.57373046875,0.0364532470703125,0.4259033203125
prompt42,0.4800764978828936,1.2643671035766602,8,no,22,26,0.3427734375,0.02951812744140625,0.6357421875
prompt46,0.13662491551208075,1.7064106464385986,11,no,152,163,0.5319010416666666,0.029876708984375,0.8250325520833334
prompt47,0.4418207628199086,1.5001168251037598,10,no,280,800,0.8929036458333334,0.033503214518229164,0.599609375
prompt48,0.0,1.0868504047393799,7,yes,8,8,0.0,0.0292816162109375,1.0
prompt49,0.3087465029367591,1.4961662292480469,10,no,240,30,0.3629557291666667,0.027150472005208332,0.7942708333333334
