prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.9004612499278415,0.8411624431610107,7,no,8,18,2.181640625,0.038238525390625,0.462646484375
prompt1,0.9217949814167539,0.8055341243743896,7,no,2,3,2.1796875,0.03863525390625,0.462646484375
prompt2,0.4390304159322418,0.9297082424163818,11,no,35000,70000,1.0884765625,0.036297607421875,0.6001220703125
prompt3,0.2246574758031735,0.8341562747955322,10,no,180,540,1.0608723958333333,0.038472493489583336,0.5813802083333334
prompt4,0.7831704269085434,0.7475597858428955,8,no,35,20,2.12109375,0.03704833984375,0.4202880859375
prompt5,0.6799153471546315,0.8501970767974854,10,no,2500,64,1.90234375,0.0379486083984375,0.2815704345703125
prompt6,0.9197949440896683,0.6710906028747559,8,no,58,260,2.1806640625,0.036865234375,0.4580078125
prompt7,0.9163735407943321,0.779374361038208,9,no,197,160,2.3098958333333335,0.038798014322916664,0.4117024739583333
prompt8,0.8935602578634815,0.822627067565918,9,no,186,45,2.2513020833333335,0.037384033203125,0.4584147135416667
prompt9,0.8183441625737213,0.8420047760009766,10,no,1725,460,2.193603515625,0.0380401611328125,0.39056396484375
prompt10,0.7752322229212408,0.9360957145690918,11,no,72.0,366,2.029296875,0.03946685791015625,0.3487396240234375
prompt11,0.9374248574426011,0.7531681060791016,9,no,314,694,2.115234375,0.03582763671875,0.4668782552083333
prompt12,0.9653513498732832,0.5960433483123779,7,no,4,13,2.181640625,0.037078857421875,0.462646484375
prompt13,0.7492903422569398,0.6687362194061279,8,no,10,18,2.0615234375,0.03765869140625,0.4619140625
prompt14,0.9680180663093972,0.8670446872711182,7,no,3,60,2.1796875,0.037445068359375,0.459228515625
prompt15,0.9099819962993996,0.8169398307800293,9,no,484,125,2.3430989583333335,0.037729899088541664,0.3897298177083333
prompt16,0.25630004391963895,0.7599785327911377,9,yes,230,230,1.0035807291666667,0.036204020182291664,0.6459147135416666
prompt17,0.7519493865186531,2.063457489013672,11,no,76100,57500,1.876953125,0.0373291015625,0.3840087890625
prompt18,0.7753546568888797,0.580855131149292,7,no,1,7,2.0625,0.03863525390625,0.460693359375
prompt19,0.8182990967671687,0.7695865631103516,9,no,1.6,6,2.1009114583333335,0.039103190104166664,0.4054361979166667
prompt20,0.9217795832059917,0.7756867408752441,9,no,2.8,15,2.2747395833333335,0.038584391276041664,0.4126790364583333
prompt21,0.8806237492370217,0.662423849105835,8,no,27,14,2.232421875,0.0378570556640625,0.4207763671875
prompt22,0.9251283769618964,0.679652214050293,8,no,12,7,2.1796875,0.0382080078125,0.4193115234375
prompt23,0.6040791081434921,2.546281337738037,30,no,4.0,8,1.844482421875,0.0389251708984375,0.402618408203125
prompt24,0.6406527976386405,0.6726386547088623,8,no,40,26,1.8291015625,0.03765869140625,0.4854736328125
prompt25,0.8589483146273538,0.6225049495697021,7,no,6,2,2.0625,0.037933349609375,0.46533203125
prompt26,0.835700588506139,1.889167308807373,21,no,280.5,243,1.6802734375,0.0361572265625,0.3896728515625
prompt27,0.5782819353135465,0.7775814533233643,9,no,240,16,1.6417643229166667,0.037923177083333336,0.3333740234375
prompt28,0.6731830238583058,0.6792120933532715,8,no,50,25,1.43017578125,0.0370025634765625,0.35101318359375
prompt29,0.8952970676786789,0.6913421154022217,8,no,55,104,2.1533203125,0.037811279296875,0.430908203125
prompt30,0.9630417712273944,0.6736569404602051,8,no,43,109,2.10791015625,0.037261962890625,0.466552734375
prompt31,0.9277157798120126,0.685828447341919,8,no,65,80,2.1728515625,0.03759765625,0.4569091796875
prompt32,0.9073199255659089,0.5896666049957275,7,no,2,35,2.0625,0.037872314453125,0.468017578125
prompt33,0.8211403398539543,0.6669316291809082,8,no,60,70,2.2333984375,0.0376129150390625,0.41943359375
prompt34,0.864048304243484,0.67453932762146,8,no,13,23,2.173828125,0.0374603271484375,0.45556640625
prompt35,,2.6036179065704346,30,buggy,None,9,,,
prompt36,0.8547698708641556,0.6755108833312988,8,no,12,75,2.1201171875,0.038238525390625,0.463623046875
prompt37,0.916242844088555,0.5998201370239258,7,no,5,2,2.064453125,0.036651611328125,0.468017578125
prompt38,,1.5277988910675049,18,buggy,None,10,,,
