,buggy_prompt_ids
0,2
1,3
2,4
3,8
4,20
5,25
6,29
7,30
8,40
9,44
10,45
11,47
12,53
13,58
14,59
15,63
16,73
17,77
18,80
19,85
20,86
21,90
22,91
23,92
24,98
25,100
26,104
27,108
28,109
29,111
30,112
31,113
32,116
33,118
34,120
35,121
36,125
37,132
38,135
39,139
40,140
41,142
42,144
43,149
44,150
45,151
46,164
47,166
48,167
49,169
50,172
51,173
52,174
53,177
54,178
55,185
56,186
57,187
58,188
59,189
60,191
61,192
62,194
63,196
64,199
65,201
66,209
67,215
68,222
69,223
70,226
71,227
72,234
73,236
74,244
75,249
76,250
77,251
78,262
79,268
80,269
81,273
82,275
83,284
84,289
85,292
86,297
87,298
88,300
89,302
90,303
91,305
92,306
93,309
94,311
95,313
96,318
97,321
98,326
99,327
100,330
101,331
102,333
103,334
104,335
105,338
106,342
107,349
108,350
109,353
110,357
111,360
112,361
113,367
114,368
115,373
116,374
117,377
118,380
119,382
120,384
121,385
122,386
123,388
124,390
125,391
126,392
127,393
128,396
129,397
130,399
131,404
132,405
133,406
134,407
135,408
136,412
137,418
138,424
139,426
140,437
141,439
142,441
143,448
144,453
145,458
146,462
147,463
148,466
149,473
150,482
151,483
152,487
153,497
154,498
155,501
156,505
157,506
158,509
159,512
160,519
161,520
162,521
163,523
164,527
165,530
166,534
167,542
168,544
169,547
170,550
171,559
172,563
173,569
174,571
175,575
176,576
177,577
178,578
179,579
180,583
181,586
182,591
183,593
184,600
185,601
186,602
187,605
188,606
189,607
190,612
191,619
192,621
193,622
194,627
195,629
196,633
197,636
198,640
199,642
200,647
201,649
202,651
203,656
204,658
205,661
206,664
207,666
208,682
209,692
210,693
211,694
212,714
213,717
214,721
215,726
216,727
217,730
218,736
219,742
220,743
221,749
222,753
223,755
224,758
225,763
226,769
227,782
228,783
229,786
230,789
231,790
232,799
233,801
234,809
235,810
236,813
237,814
238,818
239,824
240,825
241,826
242,827
243,829
244,831
245,832
246,833
247,835
248,837
249,841
250,844
251,847
252,848
253,851
254,854
255,855
256,867
257,868
258,874
259,876
260,877
261,879
262,880
263,883
264,892
265,894
266,895
267,901
268,906
269,909
270,910
271,911
272,913
273,914
274,917
275,923
276,925
277,928
278,929
279,930
280,934
281,936
282,938
283,939
284,945
285,946
286,947
287,949
288,950
289,951
290,952
291,955
292,958
293,959
294,960
295,962
296,963
297,964
298,965
299,967
300,977
301,981
302,988
303,999
304,1001
305,1006
306,1010
307,1011
308,1012
309,1013
310,1014
311,1021
312,1027
313,1032
314,1034
315,1038
316,1040
317,1042
318,1043
319,1050
320,1052
321,1054
322,1055
323,1058
324,1064
325,1069
326,1071
327,1077
328,1078
329,1089
330,1090
331,1092
332,1093
333,1095
334,1096
335,1097
336,1100
337,1102
338,1106
339,1110
340,1111
341,1113
342,1115
343,1119
344,1123
345,1130
346,1132
347,1134
348,1135
349,1139
350,1147
351,1149
352,1152
353,1153
354,1155
355,1158
356,1163
357,1165
358,1167
359,1168
360,1172
361,1173
362,1176
363,1178
364,1181
365,1183
366,1186
367,1188
368,1190
369,1197
370,1198
371,1201
372,1205
373,1206
374,1209
375,1210
376,1212
377,1215
378,1216
379,1217
380,1221
381,1225
382,1230
383,1231
384,1232
385,1234
386,1235
387,1239
388,1241
389,1243
390,1248
391,1261
392,1262
393,1264
394,1265
395,1267
396,1270
397,1276
398,1282
399,1283
400,1284
401,1287
402,1292
403,1295
404,1296
405,1298
406,1300
407,1304
408,1307
409,1318
