prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.8926890855320236,5.660329341888428,20,no,74,18,4.66015625,0.03826904296875,0.2467041015625
prompt1,0.6780866312201408,0.4662601947784424,6,no,5,3,2.54296875,0.041595458984375,0.388916015625
prompt2,,0.09540343284606934,1,buggy,None,70000,,,
prompt3,,1.2385973930358887,1,buggy,None,540,,,
prompt4,,6.384181976318359,30,buggy,None,20,,,
prompt5,0.8610049398476773,2.339888572692871,6,no,91,64,4.81640625,0.043914794921875,0.225830078125
prompt6,0.8139437443847432,0.5691061019897461,6,no,75,260,4.953125,0.047821044921875,0.1956787109375
prompt7,0.7993309071721527,0.5826778411865234,6,no,38,160,5.40234375,0.049285888671875,0.1778564453125
prompt8,,0.37522220611572266,1,buggy,None,45,,,
prompt9,0.7281073056508616,0.579498291015625,6,no,487,460,5.23046875,0.04559326171875,0.161865234375
prompt10,0.864146126964792,2.569521188735962,6,no,140,366,5.69140625,0.040069580078125,0.1641845703125
prompt11,0.9174196481252562,0.581031084060669,6,no,256,694,6.4453125,0.035552978515625,0.146728515625
prompt12,0.8093498202411605,1.436389684677124,6,no,6,13,3.412109375,0.0439453125,0.344482421875
prompt13,0.4916956567803818,0.6782588958740234,7,no,10,18,3.40625,0.05450439453125,0.2998046875
prompt14,0.5439027076090678,2.6061654090881348,27,no,35.0,60,2.1005859375,0.041046142578125,0.3263753255208333
prompt15,0.612339054422959,1.1876976490020752,12,no,157.5,125,4.334635416666667,0.050038655598958336,0.1998291015625
prompt16,0.5573725876297737,0.57598876953125,6,yes,230,230,4.9765625,0.0478515625,0.1649169921875
prompt17,0.6116499422321349,1.3530254364013672,14,no,12400,57500,4.224609375,0.041168212890625,0.20538330078125
prompt18,0.7978515533780707,0.972205638885498,6,no,8,7,3.8046875,0.045135498046875,0.2734375
prompt19,0.7809101605428004,3.4686763286590576,18,no,3.2,6,2.9560546875,0.045664469401041664,0.2884521484375
prompt20,,6.458874702453613,30,buggy,None,15,,,
prompt21,0.85620121500196,0.5634377002716064,6,no,6,14,3.380859375,0.0421142578125,0.329833984375
prompt22,0.6098884604821385,0.574761152267456,6,no,5,7,1.771484375,0.0408935546875,0.51806640625
prompt23,0.7748682831498285,1.7151503562927246,7,no,12,8,2.619140625,0.04132080078125,0.3857421875
prompt24,0.5668456035980699,2.250563383102417,8,no,25.93,26,1.9381510416666667,0.043253580729166664,0.3080240885416667
prompt25,,0.09588885307312012,1,buggy,None,2,,,
prompt26,0.7704874166798336,0.7727241516113281,8,no,241.5,243,2.2923177083333335,0.041605631510416664,0.2431640625
prompt27,0.4586752270116152,2.298088312149048,6,yes,16,16,4.3671875,0.048309326171875,0.18212890625
prompt28,0.7942370452226322,0.5705814361572266,6,no,20,25,2.177734375,0.039215087890625,0.361083984375
prompt29,,5.336379528045654,30,buggy,None,104,,,
prompt30,,0.6570608615875244,1,buggy,None,109,,,
prompt31,0.8627164992071844,0.5798454284667969,6,no,45,80,4.1015625,0.04296875,0.282470703125
prompt32,0.722329073581359,2.0506672859191895,6,no,70,35,3.41015625,0.04425048828125,0.32177734375
prompt33,0.5629021039240494,1.1285192966461182,13,no,80,70,3.734375,0.046844482421875,0.281005859375
prompt34,0.9096920388568422,1.5331664085388184,6,no,43,23,3.78515625,0.0428466796875,0.31396484375
prompt35,0.8856910325523546,0.569939136505127,6,no,14,9,3.88671875,0.0452880859375,0.304443359375
prompt36,0.5872702195975591,0.7565858364105225,8,no,60,75,3.26953125,0.04705810546875,0.2432861328125
prompt37,0.3715624900985565,0.5803179740905762,6,no,5,2,2.177734375,0.040985107421875,0.464599609375
prompt38,0.7822112153325973,2.0971317291259766,22,no,4,10,3.443359375,0.045654296875,0.287353515625
prompt39,0.7856289685748526,0.7807278633117676,8,no,5.2,18,3.1539713541666665,0.045949300130208336,0.2661539713541667
prompt40,,0.09391403198242188,1,buggy,None,8,,,
prompt41,0.2637205441598209,0.5967190265655518,6,no,1000,200,3.0615234375,0.0565185546875,0.15338134765625
prompt42,0.8922172830459478,2.980762004852295,10,no,14,26,4.625,0.055572509765625,0.2464599609375
prompt43,0.7767304683278764,4.869164228439331,23,no,1980,48,3.6455078125,0.04644775390625,0.20361328125
prompt44,,0.08992600440979004,1,buggy,None,20,,,
prompt45,,2.2528486251831055,10,buggy,None,104,,,
prompt46,0.8647128839719701,1.4997742176055908,7,no,55,163,4.3828125,0.049163818359375,0.264892578125
prompt47,,5.784811019897461,30,buggy,None,800,,,
prompt48,0.8133355536803187,0.5634255409240723,6,no,38,8,4.0546875,0.043853759765625,0.278076171875
prompt49,0.8666617688114374,0.5675981044769287,6,no,21,30,4.5234375,0.04046630859375,0.250244140625
prompt50,0.6489315511019665,3.485539674758911,20,no,1000,294,4.0400390625,0.0430145263671875,0.16864013671875
prompt51,0.5813034449792521,0.5698914527893066,6,no,7,5,4.69921875,0.049072265625,0.1904296875
prompt52,0.7004324970902485,1.7135891914367676,6,no,30,15,3.306640625,0.0428466796875,0.322021484375
prompt53,,0.6699542999267578,1,buggy,None,40,,,
prompt54,0.8381522392584208,2.744809150695801,28,no,8,40,3.806640625,0.043487548828125,0.30908203125
prompt55,0.7152423636836849,0.5696144104003906,6,no,10,14,2.0625,0.038360595703125,0.427734375
prompt56,0.8895283174272851,1.6039602756500244,6,no,2,3,1.595703125,0.03668212890625,0.5419921875
prompt57,0.7765890286303624,0.5873515605926514,6,no,327,83,5.80859375,0.039459228515625,0.1602783203125
prompt58,,0.6534514427185059,1,buggy,None,57,,,
prompt59,,0.07744932174682617,1,buggy,None,187,,,
prompt60,0.9140642105440445,0.6600508689880371,7,no,19,17,2.923828125,0.042755126953125,0.38232421875
prompt61,0.744629886875505,0.679335355758667,7,no,515,1430,6.08203125,0.051605224609375,0.1455078125
prompt62,0.3919027850918066,1.1267731189727783,7,no,75000,25000,2.861328125,0.0391693115234375,0.57452392578125
prompt63,,1.3345367908477783,1,buggy,None,1596,,,
prompt64,0.6689542404825145,0.6920778751373291,7,no,180,300,5.1328125,0.04644775390625,0.1602783203125
prompt65,0.7323496251037055,7.3282763957977295,29,no,20,36,4.56640625,0.05230712890625,0.20703125
prompt66,0.6914304503956668,0.5738940238952637,6,no,40,48,3.830078125,0.0404052734375,0.269775390625
prompt67,0.8182538532000478,2.4341232776641846,6,no,225,595,5.95703125,0.05523681640625,0.1544189453125
prompt68,0.8182785912557141,1.6256284713745117,6,no,20,36,3.4453125,0.041412353515625,0.328125
prompt69,0.7733714468880151,2.944249153137207,10,no,95,60,4.3125,0.05224609375,0.241455078125
prompt70,0.7677980962781883,1.8291480541229248,19,no,6375,7425,3.0791015625,0.046783447265625,0.14404296875
prompt71,0.5091878370747394,1.5769233703613281,6,no,40,60,2.685546875,0.045013427734375,0.2841796875
prompt72,0.8599409436412905,1.6020021438598633,6,no,149,221,4.9296875,0.043670654296875,0.1934814453125
prompt73,,0.6635758876800537,1,buggy,None,255,,,
prompt74,0.6102814480613478,1.4012603759765625,14,no,40.84,88,3.1106770833333335,0.043324788411458336,0.498779296875
prompt75,0.5368347991749352,2.0498480796813965,21,no,7,60,2.4609375,0.048797607421875,0.34716796875
prompt76,0.7334746072118493,2.9527347087860107,30,no,2,5,6.203125,0.05340576171875,0.14697265625
prompt77,,0.09361982345581055,1,buggy,None,100,,,
prompt78,0.4285645100776628,2.2985870838165283,24,no,0.5,6,2.6608072916666665,0.044179280598958336,0.5055745442708334
prompt79,0.0,0.5734748840332031,6,yes,70,70,0.0,0.037109375,1.0
prompt80,,6.5478515625,30,buggy,None,10,,,
prompt81,0.9134782184478261,2.5817811489105225,6,no,6,17,3.9296875,0.040283203125,0.299072265625
prompt82,0.8672623399486207,0.4715535640716553,6,no,242,623,6.3984375,0.030029296875,0.146240234375
prompt83,0.37719253055388746,0.5224175453186035,6,yes,600,600,3.61328125,0.045440673828125,0.1802978515625
prompt84,0.8115159582701297,1.6054978370666504,6,no,16,15,2.0625,0.039703369140625,0.447509765625
prompt85,,0.09746217727661133,1,buggy,None,44,,,
prompt86,,1.2905902862548828,1,buggy,None,22,,,
prompt87,0.47890274794920157,1.7716784477233887,18,no,3000,9360,2.5091145833333335,0.045511881510416664,0.4428304036458333
prompt88,0.2984000659720779,1.6768360137939453,7,no,8800,8000,2.1328125,0.0393524169921875,0.58355712890625
prompt89,0.8106479072870756,1.6045417785644531,6,no,16,24,3.197265625,0.041259765625,0.353515625
prompt90,,0.09827041625976562,1,buggy,None,225,,,
prompt91,,0.09364128112792969,1,buggy,None,28,,,
prompt92,,0.653029203414917,1,buggy,None,4,,,
prompt93,0.6693898785083755,0.7830209732055664,8,no,38.2,36,2.4130859375,0.045684814453125,0.3145345052083333
prompt94,0.810681582354005,0.574021577835083,6,no,134,348,4.78125,0.0443115234375,0.20703125
prompt95,0.820350513018526,1.4827349185943604,6,no,36,40,4.421875,0.042999267578125,0.2476806640625
