prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.8899437158112823,0.8701565265655518,8,no,20,18,2.0517578125,0.05352783203125,0.4259033203125
prompt1,0.8124682244441573,0.6556706428527832,7,yes,3,3,1.5849609375,0.052642822265625,0.51416015625
prompt2,0.3707994443191816,1.0389328002929688,11,yes,70000,70000,0.8869140625,0.048980712890625,0.60501708984375
prompt3,0.221429267548823,0.8463699817657471,9,yes,540,540,0.4537760416666667,0.046213785807291664,0.83740234375
prompt4,0.7252867513812286,0.9476368427276611,9,no,525,20,1.7252604166666667,0.0562744140625,0.3218180338541667
prompt5,0.7987387274198982,1.310652732849121,14,no,216.0,64,2.039453125,0.0575439453125,0.352734375
prompt6,0.7408761866325148,0.8462834358215332,9,no,160,260,1.8245442708333333,0.053314208984375,0.4016927083333333
prompt7,0.7226956328803505,0.8541445732116699,9,no,100,160,2.0924479166666665,0.057027180989583336,0.4724934895833333
prompt8,0.8884141885646587,0.9145100116729736,9,no,100,45,2.2024739583333335,0.0562744140625,0.44091796875
prompt9,0.672885958732051,0.8475706577301025,9,no,570,460,1.271484375,0.050496419270833336,0.4952799479166667
prompt10,0.7678293728983802,0.8465826511383057,9,no,150,366,1.9778645833333333,0.053639729817708336,0.4560546875
prompt11,0.967738771789802,0.851482629776001,9,no,770,694,2.2024739583333335,0.053985595703125,0.4676106770833333
prompt12,0.8677029752692109,0.7577919960021973,8,no,24,13,2.2705078125,0.0562744140625,0.43017578125
prompt13,0.7130214310177141,0.7539703845977783,8,no,15,18,1.98583984375,0.052398681640625,0.4620361328125
prompt14,0.7747312804905808,0.7502179145812988,8,no,45,60,1.986328125,0.0540313720703125,0.4212646484375
prompt15,0.8626055779288495,1.0326662063598633,9,no,195,125,2.2330729166666665,0.056752522786458336,0.4444986979166667
prompt16,0.23346270473772243,0.8422975540161133,9,yes,230,230,0.9801432291666666,0.052235921223958336,0.6651204427083334
prompt17,0.5276506795315186,1.038773536682129,11,no,21000,57500,1.2630859375,0.050384521484375,0.669677734375
prompt18,0.7897442112377432,0.9387373924255371,10,no,2736,7,1.886962890625,0.0563201904296875,0.2977294921875
prompt19,0.8433480082314604,0.9509644508361816,10,no,2.66,6,1.505126953125,0.0529632568359375,0.341064453125
prompt20,0.8259310123429954,0.9537804126739502,10,no,18.6,15,1.7939453125,0.0556488037109375,0.3809814453125
prompt21,0.8515378798535698,0.7491741180419922,8,no,12,14,2.1640625,0.054840087890625,0.4615478515625
prompt22,0.9434852057876392,0.659691572189331,7,no,4,7,1.9208984375,0.051605224609375,0.46337890625
