,buggy_prompt_ids
0,15
1,16
2,20
3,25
4,34
5,38
6,47
7,59
8,62
9,71
10,76
11,82
12,83
13,87
14,91
15,98
16,99
17,102
18,117
19,123
20,139
21,150
22,154
23,156
24,168
25,170
26,172
27,174
28,184
29,187
30,192
31,202
32,207
33,217
34,222
35,244
36,254
37,255
38,257
39,267
40,271
41,277
42,279
43,280
44,283
45,288
46,293
47,295
48,296
49,301
50,306
51,308
52,310
53,315
54,324
55,329
56,333
57,335
58,338
59,341
60,342
61,344
62,345
63,347
64,358
65,365
66,368
67,374
68,377
69,380
70,386
71,388
72,394
73,398
74,399
75,403
76,405
77,406
78,409
79,410
80,418
81,429
82,435
83,439
84,443
85,444
86,448
87,456
88,467
89,473
90,474
91,481
92,482
93,483
94,489
95,491
96,493
97,494
98,502
99,509
100,514
101,517
102,524
103,530
104,534
105,544
106,548
107,550
108,553
109,554
110,562
111,568
112,582
113,595
114,597
115,598
116,621
117,623
118,625
119,627
120,632
121,635
122,640
123,642
124,643
125,645
126,646
127,650
128,652
129,654
130,657
131,684
132,685
133,688
134,691
135,692
136,699
137,700
138,702
139,708
140,711
141,718
142,722
143,723
144,728
145,730
146,734
147,739
148,742
149,748
150,750
151,756
152,758
153,762
154,774
155,780
156,788
157,790
158,791
159,801
160,812
161,813
162,818
163,828
164,833
165,847
166,850
167,858
168,863
169,865
170,866
171,868
172,873
173,883
174,889
175,890
176,892
177,898
178,900
179,901
180,916
181,918
182,923
183,926
184,930
185,935
186,939
187,967
188,970
189,987
190,997
191,999
192,1000
193,1001
194,1003
195,1012
196,1014
197,1016
198,1025
199,1031
200,1032
201,1033
202,1037
203,1040
204,1049
205,1055
206,1058
207,1061
208,1064
209,1066
210,1072
211,1075
212,1083
213,1085
214,1086
215,1087
216,1090
217,1098
218,1099
219,1108
220,1119
221,1124
222,1127
223,1131
224,1148
225,1156
226,1157
227,1161
228,1166
229,1167
230,1171
231,1173
232,1180
233,1181
234,1189
235,1191
236,1193
237,1198
238,1201
239,1205
240,1208
241,1210
242,1215
243,1218
244,1223
245,1225
246,1227
247,1242
248,1247
249,1250
250,1254
251,1255
252,1269
253,1272
254,1274
255,1285
256,1297
257,1298
258,1302
259,1304
260,1307
261,1311
