prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,16.771193027496338,101,no,112,18,0.0,0.031361897786458336,1.0
prompt1,,19.98314356803894,131,buggy,None,3,,,
prompt2,,24.3187153339386,148,buggy,None,70000,,,
prompt3,0.0,3.5453414916992188,27,no,180,540,0.0,0.031712849934895836,1.0
prompt4,0.0,5.642549514770508,33,no,50,20,0.0,0.0323944091796875,1.0
prompt5,0.0,7.281049966812134,49,no,19,64,0.0,0.0332183837890625,1.0
prompt6,0.15726643896163756,6.2061121463775635,46,no,36,260,0.34033203125,0.0336761474609375,0.77978515625
prompt7,,182.85464692115784,800,buggy,None,160,,,
prompt8,,188.46965527534485,800,buggy,None,45,,,
prompt9,0.0,52.705774784088135,294,no,17,460,0.0,0.032928466796875,1.0
prompt10,,0.13796424865722656,1,buggy,None,366,,,
prompt11,,181.60118770599365,800,buggy,None,694,,,
prompt12,,23.182697296142578,138,buggy,None,13,,,
prompt13,,13.652161836624146,85,buggy,None,18,,,
prompt14,0.0,12.511756420135498,80,no,83,60,0.0,0.0330657958984375,1.0
prompt15,,186.87840509414673,800,buggy,None,125,,,
prompt16,0.45552329289110016,3.1411993503570557,24,no,320,230,1.5348307291666667,0.038482666015625,0.3783772786458333
prompt17,0.0,8.176964521408081,53,no,105000,57500,0.0,0.0321502685546875,1.0
prompt18,,175.260596036911,800,buggy,None,7,,,
prompt19,,68.5473222732544,365,buggy,None,6,,,
prompt20,0.37770428795240657,26.03164291381836,154,no,36.6412415993631,15,1.35859375,0.03917236328125,0.4759521484375
prompt21,0.0,6.129645347595215,44,no,6,14,0.0,0.033111572265625,1.0
prompt22,,180.14090871810913,800,buggy,None,7,,,
prompt23,0.261799767163835,4.167692422866821,32,no,1000000000,8,0.6580078125,0.035870361328125,0.485626220703125
prompt24,0.5630528034074507,21.57686185836792,135,no,20,26,0.885009765625,0.0348968505859375,0.4892578125
prompt25,0.8190254552369293,15.357783794403076,93,no,5,2,1.9296875,0.038330078125,0.468994140625
prompt26,,182.6457281112671,800,buggy,None,243,,,
prompt27,,12.628750085830688,79,buggy,None,16,,,
prompt28,0.8747729929167403,6.297420263290405,44,no,6,25,1.7734375,0.0374755859375,0.488037109375
prompt29,,162.88065266609192,736,buggy,None,104,,,
prompt30,,0.13348865509033203,1,buggy,None,109,,,
prompt31,0.6634800666443477,1.8419137001037598,14,no,66.6,80,1.4486328125,0.03785400390625,0.30627288818359377
prompt32,,57.84329581260681,325,buggy,None,35,,,
prompt33,,28.386130571365356,177,buggy,None,70,,,
prompt34,0.0,7.415173053741455,53,no,12,23,0.0,0.0322265625,1.0
prompt35,,179.67509198188782,800,buggy,None,9,,,
prompt36,,178.09100008010864,800,buggy,None,75,,,
prompt37,0.0,8.759825468063354,56,no,90,2,0.0,0.033203125,1.0
prompt38,,27.403759717941284,168,buggy,None,10,,,
prompt39,0.3185555024893074,11.332911014556885,68,no,42,18,0.794921875,0.0357666015625,0.739013671875
prompt40,0.8556969463422319,3.393962860107422,26,yes,8,8,1.7763671875,0.03729248046875,0.45849609375
prompt41,,192.0826814174652,800,buggy,None,200,,,
prompt42,0.0,37.47389459609985,210,no,21,26,0.0,0.032928466796875,1.0
prompt43,,181.18619918823242,800,buggy,None,48,,,
prompt44,0.32779984888457786,81.32787036895752,418,no,100,20,0.22786458333333334,0.032867431640625,0.8182779947916666
prompt45,,5.478025436401367,32,buggy,None,104,,,
prompt46,0.6956307304406741,5.9931113719940186,35,no,20,163,1.427734375,0.0381622314453125,0.30828857421875
prompt47,,179.10531544685364,800,buggy,None,800,,,
prompt48,,176.90509462356567,800,buggy,None,8,,,
prompt49,0.8514577419693603,1.176771640777588,9,no,24,30,2.3212890625,0.040283203125,0.36181640625
prompt50,0.8764608020028152,9.582857847213745,67,no,0,294,2.1796875,0.040924072265625,0.459228515625
prompt51,0.8992877390933021,20.260168313980103,125,no,11,5,2.302734375,0.041259765625,0.369140625
prompt52,0.394298452587595,6.265117883682251,41,no,22.5,15,0.7658203125,0.035504150390625,0.539404296875
prompt53,0.10425725852775973,19.57159447669983,113,no,640,40,0.22688802083333334,0.032267252604166664,0.7745768229166666
prompt54,0.71893445269693,6.378903388977051,38,no,26,40,1.82568359375,0.0385284423828125,0.4854736328125
prompt55,0.8029661325852248,26.750157356262207,164,no,0,14,1.9296875,0.0377197265625,0.4482421875
prompt56,,22.37478542327881,139,buggy,None,3,,,
prompt57,0.5150108057650231,32.38646674156189,184,no,20,83,0.884765625,0.0356292724609375,0.29107666015625
prompt58,0.0,55.6844117641449,299,no,6,57,0.0,0.03173828125,1.0
prompt59,,176.3189136981964,800,buggy,None,187,,,
prompt60,0.6537211886064934,1.0427379608154297,8,no,5,17,2.0625,0.040618896484375,0.462158203125
prompt61,0.23744086828637834,10.803200244903564,68,no,136.6,1430,0.294921875,0.0333404541015625,0.7573699951171875
prompt62,,1.7116405963897705,13,buggy,None,25000,,,
prompt63,,68.09109115600586,362,buggy,None,1596,,,
prompt64,0.0,23.43675184249878,134,no,122,300,0.0,0.03131103515625,1.0
prompt65,,178.4124825000763,800,buggy,None,36,,,
prompt66,,13.915132284164429,87,buggy,None,48,,,
prompt67,0.8227037746974352,1.581533670425415,12,no,160,595,2.1751302083333335,0.037943522135416664,0.4324544270833333
prompt68,0.0,8.643542051315308,61,no,24,36,0.0,0.032196044921875,1.0
prompt69,,1.3279013633728027,10,buggy,None,60,,,
prompt70,,179.72783517837524,800,buggy,None,7425,,,
prompt71,,10.285727262496948,69,buggy,None,60,,,
prompt72,0.1142368384544034,4.309338331222534,33,no,224,221,0.22721354166666666,0.034250895182291664,0.85693359375
prompt73,,20.880330085754395,130,buggy,None,255,,,
prompt74,0.0,2.794163942337036,16,no,453,88,0.0,0.03216552734375,1.0
prompt75,,182.03111243247986,800,buggy,None,60,,,
prompt76,,6.150430917739868,36,buggy,None,5,,,
prompt77,,178.2526626586914,800,buggy,None,100,,,
prompt78,0.04737365294589082,21.5165958404541,134,no,12.5,6,0.1365234375,0.033258056640625,0.890966796875
prompt79,,178.92677235603333,800,buggy,None,70,,,
prompt80,,15.475767135620117,101,buggy,None,10,,,
prompt81,,47.19346475601196,267,buggy,None,17,,,
prompt82,0.6982697139328113,1.8088481426239014,14,no,108,623,1.6389973958333333,0.037068684895833336,0.473876953125
prompt83,0.27201303474866906,1.2855989933013916,10,no,200,600,0.8684895833333334,0.037363688151041664,0.628173828125
prompt84,0.9253506033315726,4.879079580307007,38,no,8,15,1.087890625,0.03680419921875,0.445068359375
prompt85,,185.38462567329407,800,buggy,None,44,,,
prompt86,0.8298314226060874,5.996049404144287,35,no,6,22,1.3720703125,0.036407470703125,0.408447265625
prompt87,0.7518276074897191,1.813627004623413,11,no,764,9360,2.2096354166666665,0.039835611979166664,0.4005533854166667
prompt88,,22.773849487304688,142,buggy,None,8000,,,
prompt89,0.06523123067344966,4.1585938930511475,31,no,21.6,24,0.1365234375,0.034002685546875,0.8164306640625
prompt90,,185.9038097858429,800,buggy,None,225,,,
prompt91,0.0,14.86671233177185,98,no,15,28,0.0,0.03240966796875,1.0
prompt92,,179.42028164863586,800,buggy,None,4,,,
prompt93,0.771713867760781,2.5581929683685303,15,no,3.4,36,2.42236328125,0.04001617431640625,0.349456787109375
prompt94,,179.15165972709656,800,buggy,None,348,,,
prompt95,0.6373452282312561,19.43753409385681,123,no,50,40,2.177734375,0.0391387939453125,0.4136962890625
prompt96,,100.55363011360168,519,buggy,None,3,,,
prompt97,0.2354892838987011,2.504624843597412,19,no,32,12,0.8837890625,0.0364227294921875,0.294342041015625
prompt98,,9.085344314575195,53,buggy,None,5,,,
prompt99,0.0,5.93956995010376,35,no,14,58,0.0,0.03192138671875,1.0
prompt100,0.0,7.884923934936523,46,no,75,175,0.0,0.031707763671875,1.0
prompt101,,57.085532426834106,308,buggy,None,6,,,
prompt102,0.827492599706624,20.027612924575806,120,no,33,26,2.3037109375,0.0409088134765625,0.3704833984375
prompt103,0.620753246857007,5.42146635055542,36,no,12831042128,140,1.9719460227272727,0.04007790305397727,0.3606844815340909
prompt104,,179.1575231552124,800,buggy,None,500,,,
prompt105,,7.953560829162598,59,buggy,None,20,,,
prompt106,0.6528845328283638,1.1878466606140137,9,yes,72,72,1.9755859375,0.0395965576171875,0.4639892578125
prompt107,0.7566451649603169,12.414148569107056,72,yes,3,3,1.5927734375,0.0367431640625,0.48388671875
prompt108,0.0,8.10775113105774,48,no,5,50,0.0,0.0323486328125,1.0
prompt109,,8.756805658340454,56,buggy,None,28,,,
prompt110,0.20534453284352674,1.7322115898132324,10,no,6,45,0.68115234375,0.036834716796875,0.453369140625
prompt111,,70.71520137786865,374,buggy,None,16,,,
prompt112,0.0,7.552671909332275,49,no,69,24,0.0,0.0330810546875,1.0
prompt113,0.2906720915364306,66.74017095565796,372,no,24,25,0.54150390625,0.0339508056640625,0.51898193359375
prompt114,,186.3362271785736,800,buggy,None,6,,,
prompt115,0.7662065430319291,7.535863399505615,44,no,270,90,1.9944661458333333,0.0384521484375,0.4178059895833333
prompt116,0.7329475421376385,28.726395845413208,173,no,108,42,2.0999348958333335,0.040639241536458336,0.2841796875
prompt117,0.3062279374137625,11.26642370223999,78,no,14,360,0.5439453125,0.0352325439453125,0.6922607421875
prompt118,0.0,42.25229477882385,238,no,740,4,0.0,0.031809488932291664,1.0
prompt119,,18.931809663772583,110,buggy,None,95200,,,
prompt120,0.0,3.7439703941345215,29,no,60,240,0.0,0.0330657958984375,1.0
prompt121,0.7716298577464435,1.320457935333252,10,no,112,27,2.197265625,0.039967854817708336,0.416259765625
prompt122,,0.14858651161193848,1,buggy,None,48,,,
prompt123,0.48606424583887975,3.9084420204162598,30,no,65,50,0.34130859375,0.03314208984375,0.7149658203125
prompt124,0.0,5.015844345092773,32,no,30,10,0.0,0.0323486328125,1.0
prompt125,,2.2312188148498535,13,buggy,None,10,,,
prompt126,,177.82361030578613,800,buggy,None,82,,,
prompt127,0.25348605978101113,2.8526124954223633,22,no,2320,120,1.011474609375,0.03612518310546875,0.5052032470703125
prompt128,0.4996427767082771,5.800305604934692,34,no,60,880,1.43017578125,0.0356292724609375,0.4813232421875
prompt129,,181.54890942573547,800,buggy,None,10000,,,
prompt130,,181.04195618629456,800,buggy,None,30,,,
prompt131,,24.835726022720337,156,buggy,None,940,,,
prompt132,0.0,12.991887331008911,82,no,54,60,0.0,0.0320281982421875,1.0
prompt133,,56.73861479759216,318,buggy,None,13,,,
prompt134,,4.911774158477783,38,buggy,None,720,,,
prompt135,,75.20409321784973,403,buggy,None,40,,,
prompt136,0.0,3.6522774696350098,28,no,5,6,0.0,0.033233642578125,1.0
prompt137,0.8021888116906577,1.820310115814209,12,no,23.35,29,1.8478515625,0.0375732421875,0.3746337890625
prompt138,0.8424057249121475,5.118470191955566,32,no,70,105,1.13818359375,0.0356292724609375,0.4659423828125
prompt139,,80.09927654266357,427,buggy,None,70,,,
prompt140,,59.835028409957886,335,buggy,None,20,,,
prompt141,,177.44473314285278,800,buggy,None,400,,,
prompt142,,10.344578981399536,69,buggy,None,140,,,
prompt143,,180.34256839752197,800,buggy,None,16,,,
prompt144,0.40470131773106727,21.957587480545044,123,no,18,20,0.34228515625,0.03369140625,0.661865234375
prompt145,,1.181957483291626,9,buggy,None,4000,,,
prompt146,,55.4614839553833,298,buggy,None,2125,,,
prompt147,0.0,6.76901650428772,39,no,78,75,0.0,0.0323638916015625,1.0
prompt148,0.0,5.793370008468628,37,no,8,30,0.0,0.032073974609375,1.0
prompt149,0.0,1.6221897602081299,12,no,24,16,0.0,0.0326080322265625,1.0
prompt150,,61.078736305236816,322,buggy,None,4,,,
prompt151,,10.19647741317749,59,buggy,None,5,,,
prompt152,0.6590395231274572,7.021573543548584,51,no,45,4,1.43017578125,0.0381011962890625,0.241607666015625
prompt153,,188.5395905971527,800,buggy,None,48,,,
prompt154,0.0,5.285019874572754,34,no,31,272,0.0,0.033203125,1.0
prompt155,,21.561288595199585,127,buggy,None,280,,,
prompt156,,158.37905836105347,717,buggy,None,1400,,,
prompt157,,188.6940562725067,800,buggy,None,80,,,
prompt158,0.4411650122139955,3.529877185821533,27,no,31.5,34,0.8470703125,0.035516357421875,0.6200927734375
prompt159,0.0,2.9983370304107666,22,no,16,15,0.0,0.032623291015625,1.0
prompt160,0.0,7.488796234130859,50,no,4,16,0.0,0.032684326171875,1.0
prompt161,,183.35365223884583,800,buggy,None,32,,,
prompt162,,8.774099111557007,61,buggy,None,92,,,
prompt163,,180.30788445472717,800,buggy,None,50,,,
prompt164,0.14738354049137245,11.950381517410278,73,no,88.0,15,0.35302734375,0.034027099609375,0.7097412109375
prompt165,0.9120170211510024,39.996264696121216,218,no,9,77,2.177734375,0.038116455078125,0.462646484375
prompt166,,63.481016397476196,343,buggy,None,5,,,
prompt167,0.47628559824119276,21.759947299957275,139,no,20,16,0.8828125,0.0356597900390625,0.43798828125
prompt168,0.0,17.881280660629272,118,no,6,18,0.0,0.031494140625,1.0
prompt169,0.0,27.430236101150513,172,no,15,120,0.0,0.0319671630859375,1.0
prompt170,,13.826264381408691,87,buggy,None,150,,,
prompt171,,62.24462270736694,340,buggy,None,1210,,,
prompt172,0.9585726373196404,1.9821906089782715,15,no,95,51,2.2783203125,0.0394287109375,0.423828125
prompt173,,78.19359683990479,402,buggy,None,18000,,,
prompt174,0.12299538742531653,13.119077205657959,76,no,85.0,95,0.273046875,0.034075927734375,0.7172119140625
prompt175,,45.212846517562866,256,buggy,None,15,,,
prompt176,0.0,4.199422597885132,32,no,20,100,0.0,0.0322265625,1.0
