prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,,57.77095317840576,303,buggy,None,18,,,
prompt1,0.0,4.327214002609253,32,yes,3,3,0.0,0.044769287109375,1.0
prompt2,,0.3597841262817383,2,buggy,None,70000,,,
prompt3,0.0,3.405562162399292,25,no,180,540,0.0,0.041534423828125,1.0
prompt4,,199.917254447937,800,buggy,None,20,,,
prompt5,,32.89422869682312,183,buggy,None,64,,,
prompt6,,39.41796016693115,220,buggy,None,260,,,
prompt7,,83.92366671562195,417,buggy,None,160,,,
prompt8,,130.20286893844604,589,buggy,None,45,,,
prompt9,,188.27495050430298,800,buggy,None,460,,,
prompt10,0.0,9.971937894821167,57,no,300,366,0.0,0.041280110677083336,1.0
prompt11,,189.42061257362366,800,buggy,None,694,,,
prompt12,,24.9662344455719,140,buggy,None,13,,,
prompt13,0.0,8.057730197906494,46,no,1,18,0.0,0.04388427734375,1.0
prompt14,,187.86097502708435,800,buggy,None,60,,,
prompt15,,195.12554574012756,800,buggy,None,125,,,
prompt16,,170.80222010612488,748,buggy,None,230,,,
prompt17,,30.842326164245605,172,buggy,None,57500,,,
prompt18,,21.04464840888977,127,buggy,None,7,,,
prompt19,,32.5663161277771,180,buggy,None,6,,,
prompt20,,2.295623540878296,13,buggy,None,15,,,
prompt21,0.9367745264463694,1.5390679836273193,10,no,19,14,2.2138671875,0.0558013916015625,0.22052001953125
prompt22,,188.7149956226349,800,buggy,None,7,,,
prompt23,,2.012413263320923,15,buggy,None,8,,,
prompt24,,184.85881638526917,800,buggy,None,26,,,
prompt25,,189.98404145240784,800,buggy,None,2,,,
prompt26,0.0,15.8878653049469,90,no,14301.25,243,0.0,0.0409393310546875,1.0
prompt27,,10.854366779327393,62,buggy,None,16,,,
prompt28,,15.99529767036438,93,buggy,None,25,,,
prompt29,0.0,5.758925437927246,33,no,6,104,0.0,0.04205322265625,1.0
prompt30,0.09404286495578326,14.950653791427612,90,no,18,109,0.337646484375,0.0456695556640625,0.5041160583496094
prompt31,,20.73992919921875,118,buggy,None,80,,,
prompt32,0.17223580885160306,2.278444528579712,17,no,5,35,0.67578125,0.048919677734375,0.2314453125
prompt33,0.45132968622142605,14.670114278793335,90,no,106,70,1.8912760416666667,0.051625569661458336,0.13557942708333334
prompt34,0.0,5.69607138633728,34,no,198,23,0.0,0.042510986328125,1.0
prompt35,0.29750210340500055,7.527160882949829,45,no,71,9,1.185546875,0.0491790771484375,0.534820556640625
prompt36,,1.8168306350708008,13,buggy,None,75,,,
prompt37,0.0,14.550806999206543,83,no,13,2,0.0,0.0410614013671875,1.0
prompt38,0.4868951558989153,21.951457500457764,129,no,60335,10,2.2138671875,0.069891357421875,0.27344970703125
prompt39,,190.42448163032532,800,buggy,None,18,,,
prompt40,0.24514544572743502,16.309041261672974,95,no,5,8,0.67724609375,0.046722412109375,0.310791015625
prompt41,,0.5483858585357666,3,buggy,None,200,,,
prompt42,,24.892549991607666,138,buggy,None,26,,,
prompt43,0.04118044305023843,9.79942011833191,56,no,450,48,0.4466145833333333,0.054056803385416664,0.7054036458333334
prompt44,0.13657348646668524,10.940585374832153,62,no,10,20,0.33935546875,0.043914794921875,0.59075927734375
prompt45,0.31021238218601604,24.367999792099,134,no,63,104,0.79248046875,0.048309326171875,0.6048583984375
prompt46,0.0,5.661993503570557,32,no,34,163,0.0,0.0420074462890625,1.0
prompt47,,29.27904200553894,165,buggy,None,800,,,
prompt48,,183.6720404624939,800,buggy,None,8,,,
prompt49,0.34427097829134945,10.61237907409668,64,no,1201209034120309060,30,0.8136821546052632,0.04899838096217105,0.5271799187911185
prompt50,,3.5102555751800537,25,buggy,None,294,,,
prompt51,0.0,4.875206232070923,30,no,44,5,0.0,0.04327392578125,1.0
prompt52,,3.3107528686523438,19,buggy,None,15,,,
prompt53,0.10543132675442368,15.899500608444214,88,no,320,40,0.2255859375,0.044993082682291664,0.7652994791666666
prompt54,,98.57301640510559,473,buggy,None,40,,,
prompt55,,114.7774088382721,551,buggy,None,14,,,
prompt56,,45.98947191238403,253,buggy,None,3,,,
prompt57,,108.54637455940247,515,buggy,None,83,,,
prompt58,0.4700570063030368,1.9528474807739258,11,no,43.0,57,1.32958984375,0.049322509765625,0.1713623046875
prompt59,,25.828734397888184,153,buggy,None,187,,,
prompt60,0.0,13.722986936569214,83,no,3199,17,0.0,0.0413055419921875,1.0
prompt61,,38.89105296134949,213,buggy,None,1430,,,
prompt62,,189.82856059074402,800,buggy,None,25000,,,
prompt63,,78.82224631309509,396,buggy,None,1596,,,
prompt64,,10.972547769546509,62,buggy,None,300,,,
prompt65,0.8536766274283094,1.2070672512054443,9,no,44,36,2.4580078125,0.0554656982421875,0.169708251953125
prompt66,,37.104735136032104,205,buggy,None,48,,,
prompt67,,94.52668023109436,464,buggy,None,595,,,
prompt68,,155.2250018119812,706,buggy,None,36,,,
prompt69,,187.14162683486938,800,buggy,None,60,,,
prompt70,,73.83654236793518,379,buggy,None,7425,,,
prompt71,,17.365233421325684,102,buggy,None,60,,,
prompt72,,92.19879508018494,456,buggy,None,221,,,
prompt73,,170.8237020969391,752,buggy,None,255,,,
prompt74,0.0,12.409448862075806,69,no,99.81,88,0.0,0.040234375,1.0
prompt75,0.7974457404237014,1.5733866691589355,9,no,4,60,1.9228515625,0.0501708984375,0.2283935546875
prompt76,0.0,6.508137941360474,37,no,620,5,0.0,0.04132080078125,1.0
prompt77,,16.13194251060486,94,buggy,None,100,,,
prompt78,0.8498130600568052,1.2582931518554688,9,no,15,6,2.26953125,0.0569915771484375,0.1961669921875
prompt79,0.5900530408641457,5.1321752071380615,32,no,757,70,3.0358072916666665,0.07729085286458333,0.10089111328125
prompt80,,1.2159678936004639,9,buggy,None,10,,,
prompt81,,189.26574182510376,800,buggy,None,17,,,
prompt82,0.0,8.595647096633911,55,no,304,623,0.0,0.041015625,1.0
prompt83,0.0,6.643440008163452,44,no,200,600,0.0,0.042653401692708336,1.0
prompt84,0.13032157315969964,3.1858303546905518,24,no,0.1,15,0.169921875,0.0424957275390625,0.816162109375
prompt85,0.5985796651215269,20.237131357192993,113,no,10233,44,2.93359375,0.07098388671875,0.1030517578125
prompt86,,13.774707555770874,78,buggy,None,22,,,
prompt87,0.0,50.4047372341156,266,no,7,9360,0.0,0.04254150390625,1.0
prompt88,,184.40379643440247,800,buggy,None,8000,,,
prompt89,,34.560927391052246,192,buggy,None,24,,,
prompt90,,194.39074397087097,800,buggy,None,225,,,
prompt91,,26.89022445678711,156,buggy,None,28,,,
prompt92,,4.321664094924927,26,buggy,None,4,,,
prompt93,,80.6603045463562,396,buggy,None,36,,,
prompt94,,187.1545009613037,800,buggy,None,348,,,
prompt95,,28.625792264938354,165,buggy,None,40,,,
prompt96,,183.32773780822754,800,buggy,None,3,,,
prompt97,,189.1048104763031,800,buggy,None,12,,,
prompt98,,193.7414128780365,800,buggy,None,5,,,
prompt99,0.0,5.635509967803955,32,no,21,58,0.0,0.041412353515625,1.0
prompt100,,4.790591478347778,27,buggy,None,175,,,
prompt101,,37.50580143928528,204,buggy,None,6,,,
prompt102,,0.37857747077941895,2,buggy,None,26,,,
prompt103,,0.19014668464660645,1,buggy,None,140,,,
prompt104,,112.0188193321228,540,buggy,None,500,,,
prompt105,0.0,9.8826425075531,63,no,8,20,0.0,0.043701171875,1.0
prompt106,,19.88016366958618,117,buggy,None,72,,,
prompt107,0.1673047222996144,5.531280755996704,31,no,5,3,0.6767578125,0.04656982421875,0.310791015625
prompt108,,192.02451729774475,800,buggy,None,50,,,
prompt109,0.36067375923116873,5.0673816204071045,29,no,6,28,0.6787109375,0.04730224609375,0.21630859375
prompt110,,74.55191040039062,372,buggy,None,45,,,
prompt111,,189.8473641872406,800,buggy,None,16,,,
prompt112,0.5362545284349406,1.5905683040618896,9,no,12,24,1.640625,0.05401611328125,0.167266845703125
prompt113,0.2100039193439808,2.5209200382232666,19,no,30,25,0.5400390625,0.0447235107421875,0.62939453125
prompt114,,0.3729279041290283,2,buggy,None,6,,,
prompt115,,6.143968343734741,35,buggy,None,90,,,
prompt116,,39.938185691833496,219,buggy,None,42,,,
prompt117,0.0,3.1925721168518066,24,no,720,360,0.0,0.041371663411458336,1.0
prompt118,,7.1438679695129395,41,buggy,None,4,,,
prompt119,,4.3590075969696045,25,buggy,None,95200,,,
prompt120,0.0,56.92627286911011,309,no,3,240,0.0,0.041229248046875,1.0
prompt121,,62.70852708816528,328,buggy,None,27,,,
prompt122,,33.10445857048035,183,buggy,None,48,,,
prompt123,0.0,8.793953895568848,56,yes,50,50,0.0,0.0407867431640625,1.0
prompt124,0.0,5.443547487258911,31,no,40,10,0.0,0.0415496826171875,1.0
prompt125,,1.4275436401367188,8,buggy,None,10,,,
prompt126,0.0,3.294424295425415,19,no,44,82,0.0,0.0413970947265625,1.0
prompt127,0.0,2.7900023460388184,21,no,70,120,0.0,0.0411529541015625,1.0
prompt128,,49.35776615142822,259,buggy,None,880,,,
prompt129,0.36938817977375804,2.805391311645508,16,no,50000,10000,1.34140625,0.05059814453125,0.4947509765625
prompt130,,29.62199068069458,166,buggy,None,30,,,
prompt131,0.34865219989014506,1.3762669563293457,10,no,560,940,1.1171875,0.049713134765625,0.4980875651041667
prompt132,0.0,5.0194079875946045,29,no,16,60,0.0,0.0413360595703125,1.0
prompt133,,1.463437557220459,10,buggy,None,13,,,
prompt134,0.0,4.400271892547607,33,no,584,720,0.0,0.041707356770833336,1.0
prompt135,0.2909341065673295,21.822601079940796,128,no,5,40,0.6787109375,0.045989990234375,0.160888671875
prompt136,,0.2935965061187744,2,buggy,None,6,,,
prompt137,,13.656787872314453,78,buggy,None,29,,,
prompt138,0.9062391355394219,1.3985729217529297,8,no,5,105,2.169921875,0.05755615234375,0.2437744140625
prompt139,0.0,4.99144983291626,31,no,76,70,0.0,0.041107177734375,1.0
prompt140,0.0,44.52109670639038,249,no,8,20,0.0,0.043243408203125,1.0
prompt141,,88.84713053703308,447,buggy,None,400,,,
prompt142,,26.583499908447266,152,buggy,None,140,,,
prompt143,,31.638463258743286,176,buggy,None,16,,,
prompt144,0.20446398167352878,35.08871340751648,184,no,1.07,20,0.3399658203125,0.04199981689453125,0.542510986328125
prompt145,,1.2112939357757568,8,buggy,None,4000,,,
prompt146,0.5006197789937888,19.840198278427124,112,no,3500,2125,1.929931640625,0.05487823486328125,0.19146728515625
prompt147,,139.42491841316223,610,buggy,None,75,,,
prompt148,,2.656808853149414,15,buggy,None,30,,,
prompt149,,46.323487520217896,257,buggy,None,16,,,
prompt150,,194.07823610305786,800,buggy,None,4,,,
prompt151,,35.38793683052063,190,buggy,None,5,,,
prompt152,0.0,9.052857637405396,56,no,25,4,0.0,0.0415496826171875,1.0
prompt153,0.0,3.1999268531799316,18,no,15,48,0.0,0.04302978515625,1.0
prompt154,,190.68865776062012,800,buggy,None,272,,,
prompt155,0.1440246161050816,17.860759973526,101,no,1400,280,0.664794921875,0.04723358154296875,0.608062744140625
prompt156,,191.41159558296204,800,buggy,None,1400,,,
prompt157,,195.58369064331055,800,buggy,None,80,,,
prompt158,,84.0845296382904,423,buggy,None,34,,,
prompt159,,189.03402972221375,800,buggy,None,15,,,
prompt160,,188.57061767578125,800,buggy,None,16,,,
prompt161,0.0,7.712734699249268,44,no,8,32,0.0,0.044342041015625,1.0
prompt162,,22.895983457565308,135,buggy,None,92,,,
prompt163,0.0,14.388021230697632,83,no,60,50,0.0,0.041351318359375,1.0
prompt164,,23.89583992958069,134,buggy,None,15,,,
prompt165,0.0,13.417332887649536,75,no,6,77,0.0,0.040435791015625,1.0
prompt166,0.0,5.207075357437134,30,no,12,5,0.0,0.042388916015625,1.0
prompt167,,70.37359714508057,374,buggy,None,16,,,
prompt168,0.0,3.3448071479797363,25,no,4,18,0.0,0.043182373046875,1.0
prompt169,,181.76136016845703,796,buggy,None,120,,,
prompt170,,69.66195511817932,359,buggy,None,150,,,
prompt171,0.8313762188492637,1.7537024021148682,10,no,255,1210,2.0358072916666665,0.055124918619791664,0.23238118489583334
prompt172,,11.552143812179565,66,buggy,None,51,,,
prompt173,,31.352660655975342,172,buggy,None,18000,,,
prompt174,,29.112457275390625,158,buggy,None,95,,,
prompt175,,182.00087141990662,777,buggy,None,15,,,
prompt176,,185.522714138031,800,buggy,None,100,,,
prompt177,,16.91514801979065,95,buggy,None,350,,,
prompt178,0.0,4.622415542602539,30,no,36,122,0.0,0.0417022705078125,1.0
prompt179,0.6892359535059496,1.3720712661743164,10,no,50,130,2.1123046875,0.05218505859375,0.19036865234375
prompt180,0.0,5.297151327133179,33,yes,20,20,0.0,0.0413360595703125,1.0
prompt181,0.0,23.728138208389282,131,no,5,160,0.0,0.042510986328125,1.0
prompt182,,183.3644814491272,800,buggy,None,23,,,
prompt183,,200.22606945037842,800,buggy,None,2,,,
prompt184,,1.0851616859436035,8,buggy,None,25,,,
prompt185,,44.10206341743469,245,buggy,None,30,,,
prompt186,0.11218221905774145,6.397609710693359,36,no,12,5,0.3388671875,0.044464111328125,0.570068359375
prompt187,0.0,10.758573055267334,66,yes,106,106,0.0,0.040679931640625,1.0
prompt188,,142.78981113433838,645,buggy,None,50,,,
prompt189,0.0,16.01602602005005,91,no,22.33,34,0.0,0.0390625,1.0
prompt190,,182.05342292785645,800,buggy,None,360,,,
prompt191,,40.64279389381409,228,buggy,None,5,,,
prompt192,,114.19731283187866,547,buggy,None,91,,,
prompt193,0.0,5.371436357498169,30,no,12,24,0.0,0.0417327880859375,1.0
prompt194,0.0,5.206926107406616,34,no,4,10,0.0,0.041748046875,1.0
prompt195,,22.59846830368042,133,buggy,None,12,,,
prompt196,,4.3528265953063965,28,buggy,None,120,,,
prompt197,,31.571672439575195,178,buggy,None,6277,,,
prompt198,,25.47589683532715,142,buggy,None,320,,,
prompt199,0.6483822418179108,1.9370152950286865,11,no,2000,7500,1.4501953125,0.05001068115234375,0.147674560546875
prompt200,,19.485562324523926,113,buggy,None,55,,,
prompt201,0.0,11.202464818954468,64,no,53000,114200,0.0,0.040460205078125,1.0
prompt202,,2.4507980346679688,14,buggy,None,100,,,
prompt203,,196.0672323703766,800,buggy,None,31,,,
prompt204,0.0,30.510483503341675,170,no,51,98,0.0,0.0423126220703125,1.0
prompt205,0.15732514237297077,5.978056192398071,34,no,535,98,0.22623697916666666,0.043609619140625,0.7456868489583334
prompt206,0.7365049038743988,17.25252389907837,98,no,600,860,1.9365234375,0.052337646484375,0.19366455078125
prompt207,,1.935640573501587,11,buggy,None,2600,,,
prompt208,0.0,17.232726097106934,98,yes,76,76,0.0,0.0406341552734375,1.0
prompt209,,37.57670044898987,213,buggy,None,145,,,
prompt210,,0.20651888847351074,1,buggy,None,10,,,
prompt211,0.9777960265751487,16.50884222984314,94,no,2,4,2.171875,0.054443359375,0.2437744140625
prompt212,0.2576434047586799,7.844196081161499,48,no,3,5,3.03515625,0.08935546875,0.05523681640625
prompt213,,94.69567322731018,466,buggy,None,250,,,
prompt214,,188.54419708251953,800,buggy,None,8,,,
prompt215,,188.38321185112,800,buggy,None,44,,,
prompt216,,100.91135334968567,493,buggy,None,220,,,
prompt217,0.0,3.9437124729156494,28,no,32,15,0.0,0.0407257080078125,1.0
prompt218,0.22982385536947034,9.093878030776978,55,no,11,45,0.34033203125,0.0445098876953125,0.6055908203125
prompt219,,22.50037407875061,128,buggy,None,54,,,
prompt220,,2.716606855392456,16,buggy,None,70,,,
