prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,,27.837691068649292,154,buggy,None,18,,,
prompt1,0.3202858122339285,13.583929061889648,86,no,7.5,3,0.22688802083333334,0.048736572265625,0.7967936197916666
prompt2,,87.38978219032288,431,buggy,None,70000,,,
prompt3,0.0,6.090502023696899,41,yes,540,540,0.0,0.041900634765625,1.0
prompt4,,2.8655903339385986,16,buggy,None,20,,,
prompt5,,5.348867177963257,33,buggy,None,64,,,
prompt6,,22.33997941017151,130,buggy,None,260,,,
prompt7,,14.171605587005615,80,buggy,None,160,,,
prompt8,,0.20369529724121094,1,buggy,None,45,,,
prompt9,0.0,34.80784630775452,192,no,880,460,0.0,0.043121337890625,1.0
prompt10,0.5687395067141233,3.829451322555542,23,no,54,366,1.67431640625,0.0550689697265625,0.456298828125
prompt11,,26.241859197616577,146,buggy,None,694,,,
prompt12,,2.795438766479492,16,buggy,None,13,,,
prompt13,,34.676162004470825,191,buggy,None,18,,,
prompt14,,24.169811964035034,138,buggy,None,60,,,
prompt15,,32.646058320999146,175,buggy,None,125,,,
prompt16,,35.24075722694397,196,buggy,None,230,,,
prompt17,,60.6660361289978,317,buggy,None,57500,,,
prompt18,0.8547846782258368,1.2771010398864746,9,no,16,7,2.2197265625,0.0604248046875,0.39892578125
prompt19,,14.025645017623901,80,buggy,None,6,,,
prompt20,0.08250764462880984,18.30452036857605,103,no,3.3,15,0.16943359375,0.04703521728515625,0.87176513671875
prompt21,,82.49651861190796,414,buggy,None,14,,,
prompt22,0.0,4.303638696670532,26,no,9,7,0.0,0.045379638671875,1.0
prompt23,0.7439658164058258,1.139976978302002,8,yes,8,8,1.76171875,0.0584716796875,0.474853515625
prompt24,,9.484123468399048,59,buggy,None,26,,,
prompt25,,4.025911569595337,23,buggy,None,2,,,
prompt26,0.7141629305749103,5.251410961151123,30,no,164.5,243,1.61328125,0.057398478190104164,0.3311258951822917
prompt27,0.0,60.554903984069824,315,no,1,16,0.0,0.04302978515625,1.0
prompt28,,103.98852634429932,499,buggy,None,25,,,
prompt29,0.0,2.221381664276123,13,no,14,104,0.0,0.044708251953125,1.0
prompt30,0.0,34.32894706726074,195,no,78,109,0.0,0.044586181640625,1.0
prompt31,0.0,15.359922170639038,88,no,47,80,0.0,0.0440673828125,1.0
prompt32,0.5511917178181738,4.838878631591797,33,yes,35,35,1.220703125,0.055084228515625,0.27764892578125
prompt33,,0.14626359939575195,1,buggy,None,70,,,
prompt34,,189.7268226146698,800,buggy,None,23,,,
prompt35,0.13569293529668727,6.706416130065918,41,no,10,9,0.337890625,0.0484161376953125,0.7197265625
prompt36,,0.8619911670684814,6,buggy,None,75,,,
prompt37,,9.277848243713379,54,buggy,None,2,,,
prompt38,,45.7254741191864,252,buggy,None,10,,,
prompt39,,46.4488365650177,247,buggy,None,18,,,
prompt40,0.0,8.373621702194214,51,no,34,8,0.0,0.0443115234375,1.0
prompt41,,3.769651174545288,21,buggy,None,200,,,
prompt42,,30.692819118499756,167,buggy,None,26,,,
prompt43,,25.109683752059937,141,buggy,None,48,,,
prompt44,,7.426116704940796,42,buggy,None,20,,,
prompt45,0.40164874034174103,24.63528347015381,135,no,11,104,2.0419921875,0.071533203125,0.26507568359375
prompt46,0.0,16.784403085708618,94,no,6,163,0.0,0.043701171875,1.0
prompt47,,14.673260688781738,87,buggy,None,800,,,
prompt48,0.0,7.877604961395264,51,no,4,8,0.0,0.044158935546875,1.0
prompt49,,31.406918048858643,179,buggy,None,30,,,
prompt50,,20.507362127304077,122,buggy,None,294,,,
prompt51,,1.5817313194274902,11,buggy,None,5,,,
prompt52,,14.964622735977173,86,buggy,None,15,,,
prompt53,,83.66790080070496,400,buggy,None,40,,,
prompt54,,8.337308406829834,47,buggy,None,40,,,
prompt55,0.0,29.952843189239502,170,no,5,14,0.0,0.045318603515625,1.0
prompt56,0.30678402762729295,12.274305820465088,74,no,28,3,0.33935546875,0.0473480224609375,0.753173828125
prompt57,,0.1857132911682129,1,buggy,None,83,,,
prompt58,,196.96529388427734,800,buggy,None,57,,,
prompt59,,0.15041780471801758,1,buggy,None,187,,,
