,buggy_prompt_ids
0,53
1,58
2,74
3,87
4,102
5,115
6,123
7,133
8,144
9,181
10,211
11,250
12,275
13,283
14,351
15,353
16,386
17,392
18,423
19,473
20,476
21,494
22,530
23,532
24,534
25,540
26,557
27,574
28,584
29,595
30,611
31,627
32,632
33,639
34,652
35,675
36,738
37,780
38,787
39,832
40,843
41,865
42,877
43,880
44,889
45,894
46,905
47,926
48,934
49,938
50,943
51,945
52,950
53,951
54,1001
55,1012
56,1019
57,1028
58,1059
59,1070
60,1082
61,1092
62,1122
63,1130
64,1134
65,1159
66,1161
67,1166
68,1174
69,1179
70,1190
71,1199
72,1227
73,1247
74,1252
75,1274
