prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,40.70489168167114,206,yes,18,18,0.0,0.0195465087890625,1.0
prompt1,0.0,23.413476705551147,138,yes,3,3,0.0,0.016021728515625,1.0
prompt2,0.0,35.93417191505432,191,yes,70000,70000,0.0,0.02237548828125,1.0
prompt3,0.0,12.916666507720947,82,yes,540,540,0.0,0.0246429443359375,1.0
prompt4,0.0,22.61740732192993,114,yes,20,20,0.0,0.01784515380859375,1.0
prompt5,0.0,26.54893159866333,146,yes,64,64,0.0,0.019256591796875,1.0
prompt6,0.0,13.440545558929443,83,yes,260,260,0.0,0.023264567057291668,1.0
prompt7,0.0,27.67615294456482,148,yes,160,160,0.0,0.0248260498046875,1.0
prompt8,0.0,41.043339252471924,198,yes,45,45,0.0,0.0228424072265625,1.0
prompt9,0.0,16.17354965209961,93,yes,460,460,0.0,0.021550496419270832,1.0
prompt10,0.0,14.235781908035278,83,yes,366,366,0.0,0.021662394205729168,1.0
prompt11,0.7507586620345501,21.783085823059082,120,no,934,694,1.3206380208333333,0.024729410807291668,0.4829915364583333
prompt12,0.0,23.136718273162842,126,no,12,13,0.0,0.01894378662109375,1.0
prompt13,0.0,102.35827326774597,461,yes,18,18,0.0,0.02294158935546875,1.0
prompt14,0.0,21.784767389297485,123,yes,60,60,0.0,0.02352142333984375,1.0
prompt15,0.5783460084546671,12.341622114181519,66,no,290,125,0.458984375,0.021153767903645832,0.6710611979166666
prompt16,0.0,11.972372770309448,73,yes,230,230,0.0,0.020945231119791668,1.0
prompt17,0.0,33.341257095336914,179,yes,57500,57500,0.0,0.0246185302734375,1.0
prompt18,0.0,12.262637376785278,80,yes,7,7,0.0,0.0176544189453125,1.0
prompt19,0.0,24.399887084960938,133,yes,6,6,0.0,0.0176544189453125,1.0
prompt20,0.0,29.568263292312622,159,yes,15,15,0.0,0.0201263427734375,1.0
prompt21,0.0,23.645063877105713,134,yes,14,14,0.0,0.0232696533203125,1.0
prompt22,0.0,11.098130941390991,68,yes,7,7,0.0,0.0198974609375,1.0
prompt23,0.0,13.353158950805664,83,yes,8,8,0.0,0.0167999267578125,1.0
prompt24,0.0,107.74899578094482,489,yes,26,26,0.0,0.02111053466796875,1.0
prompt25,0.0,41.18095898628235,210,yes,2,2,0.0,0.0185394287109375,1.0
prompt26,0.0,22.003016233444214,120,yes,243,243,0.0,0.023427327473958332,1.0
