prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,15.439067363739014,81,yes,18,18,0.0,0.0316619873046875,1.0
prompt1,0.0,8.465136289596558,46,yes,3,3,0.0,0.032379150390625,1.0
prompt2,0.08605920101446833,29.736393451690674,186,no,120000,70000,0.114013671875,0.032826741536458336,0.8470255533854166
prompt3,,232.36151909828186,1000,buggy,None,540,,,
prompt4,0.0,9.900396823883057,62,yes,20,20,0.0,0.0319061279296875,1.0
prompt5,0.0,14.62393069267273,77,no,25,64,0.0,0.0323333740234375,1.0
prompt6,0.0,13.858279466629028,93,no,16,260,0.0,0.03192138671875,1.0
prompt7,0.3159724889312379,89.31409788131714,403,no,3.2,160,0.615234375,0.03476715087890625,0.5082550048828125
prompt8,0.0,27.7949321269989,162,no,191,45,0.0,0.031941731770833336,1.0
prompt9,0.27230137830986717,11.36542534828186,60,no,540,460,0.3619791666666667,0.032989501953125,0.824462890625
prompt10,0.0,24.93561840057373,127,no,390,366,0.0,0.0311737060546875,1.0
prompt11,0.0,16.189695835113525,105,no,250,694,0.0,0.031458536783854164,1.0
prompt12,0.0,31.476555109024048,157,no,7.5,13,0.0,0.031585693359375,1.0
prompt13,0.0,44.834691524505615,219,no,5,18,0.0,0.032501220703125,1.0
prompt14,0.6871239350387182,1.895418643951416,10,no,80,60,2.1806640625,0.03912353515625,0.415771484375
prompt15,,2.5741755962371826,17,buggy,None,125,,,
prompt16,0.0,15.962422609329224,105,no,280,230,0.0,0.0312347412109375,1.0
prompt17,,236.85849452018738,1000,buggy,None,57500,,,
prompt18,0.0989739515077719,6.704979419708252,36,no,12,7,0.34130859375,0.03338623046875,0.7039794921875
prompt19,0.71662271558961,46.70629549026489,226,no,2520,6,1.84716796875,0.038848876953125,0.322784423828125
prompt20,0.1673047222996144,14.319604635238647,75,no,8,15,0.68115234375,0.0369873046875,0.56396484375
prompt21,0.5586216622467125,11.891212224960327,63,no,6,14,1.373046875,0.035308837890625,0.46533203125
prompt22,0.0,23.75728678703308,122,no,6,7,0.0,0.031524658203125,1.0
prompt23,0.0,8.241899967193604,44,no,4,8,0.0,0.03173828125,1.0
prompt24,0.1403850151025336,13.387796878814697,71,no,1950.0,26,0.19517299107142858,0.03310285295758929,0.721343994140625
