,buggy_prompt_ids
0,0
1,1
2,4
3,8
4,14
5,15
6,18
7,20
8,22
9,25
10,27
11,29
12,30
13,31
14,32
15,34
16,38
17,40
18,41
19,43
20,44
21,46
22,47
23,48
24,49
25,51
26,53
27,55
28,58
29,59
30,65
31,69
32,73
33,74
34,75
35,77
36,79
37,81
38,87
39,88
40,89
41,90
42,91
43,92
44,93
45,94
46,95
47,97
48,98
49,99
50,100
51,101
52,104
53,106
54,107
55,109
56,110
57,112
58,113
59,114
60,116
61,119
62,122
63,124
64,125
65,128
66,129
67,131
68,133
69,134
70,142
71,143
72,144
73,146
74,147
75,154
76,155
77,159
78,160
79,161
80,162
81,164
82,165
83,166
84,167
85,169
86,170
87,173
88,176
89,180
90,186
91,188
92,189
93,190
94,192
95,196
96,197
97,199
98,200
99,201
100,202
101,206
102,212
103,214
104,215
105,220
106,221
107,223
108,225
109,226
110,227
111,228
112,230
113,231
114,232
115,233
116,234
117,236
118,239
119,240
120,242
121,243
122,244
123,245
124,246
125,248
126,249
127,251
128,252
129,254
130,257
131,260
132,265
133,266
134,272
135,278
136,281
137,282
138,284
139,287
140,290
141,291
142,296
143,299
144,303
145,309
146,310
147,313
148,314
149,316
150,317
151,318
152,319
153,321
154,324
155,327
156,328
157,330
158,332
159,335
160,338
161,341
162,342
163,344
164,346
165,348
166,351
167,353
168,354
169,357
170,359
171,360
172,361
173,363
174,365
175,370
176,371
177,374
178,375
179,377
180,382
181,383
182,384
183,385
184,386
185,389
186,390
187,393
188,395
189,396
190,398
191,402
192,403
193,405
194,408
195,409
196,411
197,413
198,415
199,419
200,422
201,425
202,430
203,432
204,434
205,437
206,439
207,440
208,443
209,445
210,448
211,453
212,454
213,457
214,459
215,460
216,465
217,466
218,471
219,476
220,478
221,479
222,483
223,486
224,491
225,494
226,495
227,497
228,500
229,509
230,516
231,519
232,520
233,522
234,524
235,526
236,527
237,528
238,530
239,531
240,532
241,533
242,534
243,537
244,538
245,539
246,541
247,542
248,543
249,544
250,547
251,548
252,551
253,553
254,554
255,556
256,562
257,564
258,568
259,572
260,575
261,577
262,578
263,579
264,580
265,584
266,585
267,589
268,591
269,592
270,593
271,594
272,597
273,598
274,601
275,604
276,607
277,609
278,612
279,613
280,617
281,618
282,621
283,623
284,626
285,627
286,630
287,632
288,635
289,636
290,637
291,639
292,640
293,641
294,643
295,644
296,645
297,650
298,651
299,653
300,654
301,655
302,656
303,658
304,660
305,662
306,663
307,664
308,665
309,666
310,669
311,675
312,676
313,677
314,679
315,687
316,688
317,690
318,693
319,694
320,703
321,706
322,707
323,710
324,711
325,712
326,714
