,buggy_prompt_ids
0,21
1,32
2,36
3,39
4,44
5,47
6,59
7,75
8,76
9,82
10,90
11,93
12,95
13,100
14,108
15,109
16,110
17,115
18,130
19,134
20,137
21,138
22,143
23,144
24,148
25,150
26,176
27,183
28,184
29,192
30,201
31,202
32,215
33,225
34,227
35,233
36,234
37,235
38,250
39,261
40,271
41,275
42,283
43,289
44,296
45,300
46,313
47,319
48,325
49,333
50,338
51,340
52,347
53,357
54,359
55,361
56,363
57,367
58,369
59,374
60,386
61,397
62,398
63,399
64,403
65,404
66,405
67,412
68,413
69,415
70,417
71,424
72,430
73,438
74,443
75,467
76,468
77,487
78,495
79,499
80,528
81,550
82,552
83,555
84,568
85,571
86,574
87,583
88,584
89,587
90,591
91,597
92,606
93,607
94,621
95,627
96,628
97,651
98,653
99,664
100,685
101,687
102,688
103,697
104,709
105,710
106,714
107,716
108,721
109,726
110,729
111,731
112,747
113,751
114,775
115,784
116,787
117,798
118,807
119,812
120,814
121,820
122,827
123,833
124,835
125,844
126,849
127,852
128,855
129,859
130,864
131,872
132,876
133,880
134,883
135,887
136,890
137,894
138,901
139,911
140,922
141,931
142,932
143,945
144,947
145,955
146,961
147,964
148,969
149,979
150,984
151,990
152,996
153,999
154,1001
155,1006
156,1009
157,1012
158,1013
159,1014
160,1016
161,1017
162,1020
163,1021
164,1022
165,1027
166,1030
167,1032
168,1035
169,1037
170,1070
171,1074
172,1077
173,1089
174,1091
175,1092
176,1098
177,1102
178,1113
179,1122
180,1123
181,1125
182,1139
183,1140
184,1145
185,1147
186,1150
187,1152
188,1156
189,1159
190,1165
191,1174
192,1180
193,1181
194,1184
195,1185
196,1194
197,1198
198,1199
199,1204
200,1206
201,1212
202,1235
203,1243
204,1247
205,1255
206,1256
207,1261
208,1263
209,1264
210,1280
211,1282
212,1290
213,1292
214,1304
215,1309
