prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.8418354852722086,3.3698220252990723,21,no,12,18,4.671875,0.05560302734375,0.2330322265625
prompt1,0.5604652361028793,0.7163493633270264,5,no,4,3,3.0546875,0.058868408203125,0.298095703125
prompt2,0.5005297244350818,1.074537992477417,8,no,65000,70000,2.985595703125,0.049560546875,0.24609375
prompt3,0.7034240225770548,0.8406391143798828,6,no,48,540,5.1953125,0.06475830078125,0.149169921875
prompt4,0.7257757938709689,0.7568399906158447,5,no,10,20,4.23046875,0.062286376953125,0.2342529296875
prompt5,0.870951685210452,0.9670789241790771,7,no,38,64,4.70703125,0.05230712890625,0.23779296875
prompt6,0.755636336778381,0.7194111347198486,5,no,140,260,5.65625,0.07708740234375,0.1353759765625
prompt7,0.6553830116757888,0.9655992984771729,7,no,114.4,160,5.282552083333333,0.07399495442708333,0.13362630208333334
prompt8,0.6175571698232986,0.9951910972595215,7,no,100,45,5.84375,0.06976318359375,0.138916015625
prompt9,0.6430437847855879,0.7235994338989258,5,no,463,460,5.6640625,0.07806396484375,0.1317138671875
prompt10,0.8501120276042123,0.9655280113220215,7,no,138,366,5.95703125,0.0638427734375,0.1524658203125
prompt11,0.8839321089685221,0.85312819480896,6,no,661,694,6.44921875,0.059051513671875,0.144287109375
prompt12,0.8008100494385776,0.8480000495910645,6,no,20,13,4.484375,0.06402587890625,0.2379150390625
prompt13,0.8235189265734234,0.7484116554260254,5,no,6,18,3.15234375,0.04962158203125,0.3408203125
prompt14,0.5061545461580009,1.0979578495025635,8,no,17.5,60,3.1516927083333335,0.058736165364583336,0.19706217447916666
prompt15,0.5489354957884031,1.1176817417144775,8,no,307.5,125,4.186197916666667,0.058237711588541664,0.19681803385416666
prompt16,0.6325316656041204,2.054504156112671,16,no,150,230,6.390625,0.08880615234375,0.09814453125
prompt17,0.7475535809278983,0.8461775779724121,6,no,1650,57500,3.5400390625,0.059906005859375,0.21759033203125
prompt18,0.6615393939666029,0.7193200588226318,5,no,4,7,4.20703125,0.0650634765625,0.189453125
prompt19,0.7897460079275348,1.9338245391845703,15,yes,6,6,2.6796875,0.0545654296875,0.367431640625
prompt20,0.7608845179239606,1.0883095264434814,8,no,20,15,3.958984375,0.053314208984375,0.2734375
prompt22,0.6873529017254477,0.8527038097381592,6,no,5,7,2.458984375,0.05133056640625,0.38330078125
prompt23,0.789325710796561,0.7276005744934082,5,no,6,8,2.802734375,0.055511474609375,0.355712890625
prompt24,0.4830503218632812,1.4437806606292725,11,yes,26.0,26,2.4778645833333335,0.055409749348958336,0.21952311197916666
prompt26,0.7893587884959455,0.7347085475921631,5,no,219,243,5.84765625,0.06793212890625,0.1519775390625
prompt28,0.5697884118497003,0.7283029556274414,5,yes,25,25,2.171875,0.05010986328125,0.30419921875
prompt29,0.833338708454675,0.7353267669677734,5,no,65,104,4.51171875,0.07073974609375,0.248779296875
prompt31,0.8348866631316931,0.7301979064941406,5,no,40,80,4.58984375,0.062744140625,0.25048828125
prompt32,0.633445771356411,0.726546049118042,5,no,10,35,3.0625,0.053009033203125,0.281005859375
prompt33,0.6348755407004021,2.276488780975342,18,no,50,70,4.2109375,0.06243896484375,0.2462158203125
prompt35,0.7705922702994864,0.7236244678497314,5,no,29,9,4.16015625,0.056549072265625,0.276611328125
prompt36,0.6684981222509536,0.7283170223236084,5,no,80,75,3.84375,0.0517578125,0.231689453125
prompt37,0.8002449032941557,0.7296323776245117,5,no,6,2,2.744140625,0.05010986328125,0.3642578125
prompt38,0.6588038703759582,0.9690537452697754,7,no,1.8,10,4.365234375,0.06333414713541667,0.16188557942708334
prompt41,0.26964230884336293,1.9413328170776367,14,no,1200,200,2.916015625,0.063873291015625,0.553436279296875
prompt42,0.8205147135605664,0.8852584362030029,6,no,40,26,4.71875,0.0601806640625,0.2218017578125
prompt45,0.2585902323860192,3.383730411529541,26,no,54255424,104,1.4056396484375,0.050563812255859375,0.5517501831054688
prompt47,0.6454393709982005,0.7339046001434326,5,no,400,800,5.6640625,0.07135009765625,0.1427001953125
prompt50,0.6711256491152621,1.8055870532989502,14,no,604,294,6.06640625,0.07427978515625,0.1326904296875
